EUR_o..Mstb.,WellID,Fluid...Total..lbs.,Operator,Completion.Date,Additive,Mesh.Size
12.164,40,383600,30.9602993241277,38827,48.2778773651852,30.0654791250809
10.876,42,374500,30.9602993241277,38842,48.3521039747772,30.0654791250809
19.20842649,48,326653,30.9602993241277,39131,26.7910026866456,30.0654791250809
14.8,49,358519,30.9602993241277,39049,28.422541326518,30.0654791250809
18.328,53,279747,30.9602993241277,39128,20.2695937157143,30.0654791250809
13.684,54,3000,30.9602993241277,39133,39.0264678410521,30.0654791250809
13.624,60,426297,30.9602993241277,39106,22.4295128962448,30.0654791250809
12.671,64,361845,30.9602993241277,39159,20.2695937157143,30.0654791250809
6.904,66,273394,44.6803777705063,39196,39.3845902957291,30.0654791250809
15.424,72,366450,30.9602993241277,39091,47.8987383608924,30.0654791250809
20.11541731,74,602308,32.5096331541667,39253,43.8061551296078,30.0654791250809
20.072,76,633108,32.5096331541667,39263,20.072,30.0654791250809
17.63959573,86,417479,30.9602993241277,39534,35.1317339938306,30.0654791250809
10.56,90,468007,30.9602993241277,39404,28.4196058367653,30.0654791250809
8.086191594,93,383661,30.9602993241277,39568,31.4326712012701,30.0654791250809
8.808,94,398382,30.9602993241277,39545,32.3054106072904,30.0654791250809
21.94799122,97,571036,44.6803777705063,39624,43.2651727596227,30.0654791250809
9.735,98,417946,30.9602993241277,39522,31.0475615742956,30.0654791250809
11.934,99,466207,30.9602993241277,39494,33.8455333605443,30.0654791250809
15.55114674,114,238412,44.6803777705063,39568,36.3363967169626,30.0654791250809
16.768,118,589219,30.9602993241277,39776,38.629993985298,30.0654791250809
17.38,121,697906,44.6803777705063,39760,43.8061551296078,30.0654791250809
14.11666124,124,574026,44.6803777705063,39957,43.8061551296078,30.0654791250809
19.24918288,131,767718,44.6803777705063,39777,43.8061551296078,30.0654791250809
16.288,138,520460,44.6803777705063,39836,43.8061551296078,30.0654791250809
18.724,150,615580,44.6803777705063,39945,43.8061551296078,30.0654791250809
19.788,160,768857,32.5096331541667,40356,53.6048203855556,33.1804456256934
13.372,196,20034,34.1348240084615,40512,43.3548700325534,34.0330805938348
9.968,210,22000,34.1348240084615,40753,40.8970810375091,32.1191882959142
4.196,212,1524504,44.6803777705063,40665,43.8061551296078,39.0278878616504
15.792,221,24360,34.1348240084615,40598,43.1729715239157,35.3653255209787
19.484,224,28014,34.1348240084615,40570,41.1423360656474,30.9428895425792
21.352,240,490000,32.5096331541667,40813,45.0466522836364,30.0654791250809
19.268,243,691000,32.5096331541667,40855,34.1193070866667,30.0654791250809
18.056,246,675500,32.5096331541667,40855,34.1193070866667,30.0654791250809
16.16,256,780300,32.5096331541667,40725,48.2778773651852,30.0654791250809
21.2,269,777700,32.5096331541667,40722,75.8955196328,31.4056711497997
19.164,290,1622730,44.6803777705063,40764,43.8061551296078,51.1842273863158
3.42574173,297,151200,3.53660604433333,40819,49.022518074189,4.695253278
1.219311577,299,1318758,3.53660604433333,40808,52.0867122561603,30.0654791250809
12.116,318,542000,32.5096331541667,40870,34.1193070866667,30.0654791250809
5.964764826,342,1221759.35184,3.53660604433333,40784,48.9925450088009,4.695253278
15.236,352,849450,47.5130267316667,40877,43.8061551296078,30.0654791250809
20.088,353,682782,47.5130267316667,40782,53.6048203855556,30.0654791250809
20.592,358,1119758,34.1348240084615,40933,48.2778773651852,38.4531342077856
11.548,359,88200,34.1348240084615,40855,52.132768112725,34.7698703589922
20.472,370,1163414,34.1348240084615,40980,48.2778773651852,38.5539385722672
21.284,379,1360277,44.6803777705063,40955,34.1193070866667,51.1842273863158
15.6,387,527000,32.5096331541667,40886,53.6048203855556,30.0654791250809
19.74,389,552000,32.5096331541667,41007,43.8061551296078,30.0654791250809
15.464,407,694000,30.9602993241277,40902,44.0037336401327,30.0654791250809
10.788,418,695008,30.9602993241277,40992,17.535256685,33.2498741707674
17.556,419,1235601,44.6803777705063,41130,48.2778773651852,30.0654791250809
18.684,422,732312,72.714699007,41025,54.6077625104632,35.6907055123102
10.816,426,598000,32.5096331541667,40990,48.2778773651852,30.0654791250809
19.944,431,578000,32.5096331541667,41014,48.2778773651852,30.0654791250809
20.776,432,914684,47.5130267316667,41013,75.8955196328,32.3301748358983
19.408,440,1192478,34.1348240084615,41065,43.8061551296078,41.0486719947879
3.256,448,3361520.559124,34.1348240084615,41090,49.7178084947787,39.9375950519466
22.156,7,247212,47.6712217131579,37714,52.048671828237,30.62747002059
29.45106486,13,203685,44.6803777705063,37810,75.8955196328,30.250281132731
30.20941884,44,440534,30.9602993241277,39009,28.9416290582819,30.0654791250809
31.07150317,58,273756,44.6803777705063,39139,38.020320275992,30.2766666076932
25.31341516,69,329397,44.6803777705063,39196,20.2695937157143,30.0654791250809
28.09232775,87,494881,30.9602993241277,39324,20.2695937157143,30.0654791250809
22.11157295,89,258392,30.9602993241277,39558,48.2778773651852,30.0654791250809
24.40562809,95,501369,30.9602993241277,39560,35.1308817690151,30.0654791250809
25.04,103,374326,44.6803777705063,39456,32.5056443037413,30.0654791250809
25.376,106,229228,44.6803777705063,39507,40.7224616826656,30.0654791250809
24.14,107,445228,44.6803777705063,39519,42.5651447284382,38.8355644475
32.076,112,217068,44.6803777705063,39542,38.706408352894,30.0654791250809
22.828,113,223988,44.6803777705063,39563,37.3104181015948,30.0654791250809
25.4251233,116,696928,30.9602993241277,39774,40.3140186261655,30.0654791250809
34.512,155,41438091.9707999,32.5096331541667,40211,53.6048203855556,34.8775617599508
26.556,158,735054,47.5130267316667,40117,49.7051600054957,30.0654791250809
25.224,159,891294,44.6803777705063,40344,43.8061551296078,30.0654791250809
28.372,172,1131564,47.6712217131579,40463,53.6048203855556,37.4091984922962
23.642,191,1639377.184,44.6803777705063,40643,43.8061551296078,35.8523594080345
23.042,192,1533212.367,44.6803777705063,40663,43.8061551296078,23.042
32.96370677,194,25116,34.1348240084615,40501,42.0728909986997,35.5930441897437
23.312,222,24612,34.1348240084615,40705,42.8993410950429,34.5237008796442
30.524,230,816000,32.5096331541667,40756,34.1193070866667,30.0654791250809
27.412,231,748000,32.5096331541667,40756,34.1193070866667,30.0654791250809
31.096,232,747000,32.5096331541667,40756,34.1193070866667,30.0654791250809
30.76,234,719000,32.5096331541667,40731,34.1193070866667,30.0654791250809
30.044,235,659000,32.5096331541667,40747,34.1193070866667,30.0654791250809
30.492,236,608000,32.5096331541667,40834,45.0466522836364,30.0654791250809
29.132,237,636000,32.5096331541667,40765,34.1193070866667,30.0654791250809
25.364,248,1110038,44.6803777705063,40701,53.6048203855556,51.1842273863158
28.784,250,24066,34.1348240084615,40800,40.9713759191181,31.5927822339408
25.468,268,922488,105.042648415,40674,52.9458357856503,35.1783916784104
24.084,270,757000,32.5096331541667,40781,34.1193070866667,30.0654791250809
23.62,272,529000,32.5096331541667,40734,34.1193070866667,30.0654791250809
32.736,275,502500,32.5096331541667,40770,34.1193070866667,30.0654791250809
29.21941362,289,1306628,44.6803777705063,40829,29.21941362,30.0654791250809
29.81065115,291,571500,32.5096331541667,40798,34.1193070866667,30.0654791250809
25.35257157,292,601000,32.5096331541667,40772,45.0466522836364,30.0654791250809
22.844,293,452000,32.5096331541667,40813,34.1193070866667,30.0654791250809
28.564,315,564500,32.5096331541667,40866,34.1193070866667,30.0654791250809
29.872,316,589000,32.5096331541667,40957,34.1193070866667,30.0654791250809
29.108,317,581000,32.5096331541667,40835,45.0466522836364,30.0654791250809
26.248,323,572500,32.5096331541667,41023,48.2778773651852,30.0654791250809
25.476,327,658500,32.5096331541667,40945,34.1193070866667,30.0654791250809
29.636,338,20580,34.1348240084615,40792,40.9440578996338,30.0654791250809
27.888,341,949223,44.6803777705063,40869,75.8955196328,37.2080303990276
29.444,343,1051.7472,34.1348240084615,40815,42.2186951096929,32.4538624079147
26.81893188,362,809200,30.9602993241277,40835,44.2399337762195,31.1019610055031
24.56,367,936726,72.714699007,40993,51.4602898201751,36.6942511744069
32.396,378,1506732,44.6803777705063,41037,43.8061551296078,51.1842273863158
23.02,395,564000,32.5096331541667,41047,43.8061551296078,30.0654791250809
29.63266871,415,1396522,34.1348240084615,40981,48.2778773651852,34.6556142839458
24.288,428,561500,32.5096331541667,41046,48.2778773651852,30.0654791250809
27.64,430,907368,72.714699007,41031,52.982757636341,34.8363543380308
31.532,434,1977668,34.1348240084615,41051,43.8061551296078,35.0902391082108
25.276,447,3155413.269416,111.173202195455,41090,48.2778773651852,50.2998297235579
28.48,450,850532,47.5130267316667,41092,43.8061551296078,30.0654791250809
24.28251337,452,723516,30.9602993241277,41064,17.535256685,31.4717659634317
25.952,458,2384753.889708,34.1348240084615,41096,49.1295573738273,40.1390364097432
40.2,2,190946,44.6803777705063,37698,75.8955196328,30.0654791250809
39.05038257,3,206390,44.6803777705063,37698,75.8955196328,30.5039833912018
45.276,10,201636,44.6803777705063,37733,75.8955196328,30.5039833912018
42.256,17,203996,44.6803777705063,37810,75.8955196328,30.3379819859552
40.04565233,23,194252,44.6803777705063,37893,75.8955196328,31.2415769357876
38.49591628,26,317478,47.6712217131579,38010,38.49591628,33.2675932777203
51.73461391,31,188918,44.6803777705063,38315,50.8798459915794,30.0654791250809
39.1412402,33,398454,47.6712217131579,38487,48.2778773651852,30.0654791250809
42.264,35,383200,30.9602993241277,38755,48.2778773651852,30.0654791250809
46.04231632,59,244692,44.6803777705063,38937,45.2310214368436,30.2766666076932
44.02376458,68,546126,47.6712217131579,39203,51.2106921694194,38.8355644475
42.268,70,768058,44.6803777705063,39314,36.9980064960429,30.0654791250809
42.25256061,96,483344,30.9602993241277,39580,33.9934460073404,30.0654791250809
49.36,102,15848,47.6712217131579,39387,56.8821920186131,40.2539156796385
45.376,120,1020768,47.6712217131579,39685,53.6048203855556,37.5367770701151
39.94539112,142,453297,44.6803777705063,39945,43.8061551296078,30.0654791250809
36.49085403,152,586154,44.6803777705063,39967,43.8061551296078,30.0654791250809
34.6978439,153,827824,47.5130267316667,40099,53.6048203855556,30.0654791250809
49.828,163,1427004,44.6803777705063,40455,43.8061551296078,38.8355644475
47.484,171,769700,32.5096331541667,40407,75.8955196328,33.3889844930955
41.77,173,973000,32.5096331541667,40392,53.6048203855556,30.0654791250809
36.072,174,778000,32.5096331541667,40429,75.8955196328,33.2953284797109
37.35049321,176,1095929,44.6803777705063,40473,43.8061551296078,38.8355644475
41.68,189,39944,47.6712217131579,40518,53.6048203855556,41.0419092749607
41.86032034,205,1212862,44.6803777705063,40883,53.6048203855556,51.1842273863158
35.212,206,644910,47.5130267316667,40616,47.162007007529,30.0654791250809
36.92,213,1118880,47.6712217131579,40608,53.6048203855556,33.9424936542657
36.824,228,646000,32.5096331541667,40859,34.1193070866667,30.0654791250809
41.876,229,664000,32.5096331541667,40858,45.0466522836364,30.0654791250809
42.18,239,529000,32.5096331541667,40967,34.1193070866667,30.0654791250809
36.568,247,1165066,44.6803777705063,40671,43.8061551296078,40.3399527066686
46.584,251,993174,47.6712217131579,40675,53.6048203855556,38.5628040544902
39.84,263,1252851,44.6803777705063,40742,43.7046693223242,48.50703543294
43.24659366,266,915348,105.042648415,40777,54.7654576458736,38.126975099153
35.636,280,1001406,75.028,40736,55.9603546174726,35.0999105905091
46.308,284,10381990,47.5130267316667,40799,43.8061551296078,51.1842273863158
41.792,306,667500,32.5096331541667,40794,45.0466522836364,30.0654791250809
45.868,322,552000,32.5096331541667,40888,34.1193070866667,30.0654791250809
48.432,324,547000,32.5096331541667,40853,34.1193070866667,30.0654791250809
36.408,332,557000,32.5096331541667,40898,34.1193070866667,51.1842273863158
41.33660355,336,645000,32.5096331541667,40790,45.0466522836364,30.0654791250809
37.312,339,1469999,44.6803777705063,40906,34.1193070866667,51.1842273863158
38.444,344,1280860,44.6803777705063,40876,34.1193070866667,51.1842273863158
44.108,350,656040,47.5130267316667,40813,53.6048203855556,30.0654791250809
39.168,354,889944,47.5130267316667,41040,43.8061551296078,30.0654791250809
43.46283285,355,949662,47.5130267316667,41041,53.6048203855556,30.0654791250809
49.112,356,1398056,44.6803777705063,40869,34.1193070866667,51.1842273863158
44.632,357,1367077,44.6803777705063,40876,45.0466522836364,51.1842273863158
38.58,392,602000,32.5096331541667,40951,34.1193070866667,30.0654791250809
36.36439764,398,563500,32.5096331541667,40884,75.8955196328,32.1751710376088
34.8,401,695000,30.9602993241277,40974,93.99,32.9152000587669
50.388,406,1366475,44.6803777705063,41040,43.8061551296078,51.1842273863158
37.772,410,562500,32.5096331541667,40972,48.2778773651852,30.0654791250809
46.25013093,414,1263814.8,111.173202195455,40978,75.8955196328,42.6980817327816
45.732,438,1091074,47.5130267316667,41119,43.8061551296078,30.0654791250809
51.748,445,1127196,72.714699007,41150,56.0968203456766,38.1847635389448
39.964,453,805500,30.9602993241277,41064,43.8061551296078,33.5982344112769
39.552,455,3533401.171256,111.173202195455,41154,48.2778773651852,49.1053647926203
45.796,457,1081643.86,96.670966665,41133,49.6499887764985,40.7132889154397
57.8056949,11,212551,44.6803777705063,37733,51.4553270791436,30.0654791250809
54.56512178,25,200787,44.6803777705063,37893,75.8955196328,31.2415769357876
55.3862174,55,241752,30.9602993241277,39052,48.2778773651852,30.0654791250809
55.764,125,878409,44.6803777705063,39826,43.8061551296078,30.0654791250809
62.13588059,132,473171,44.6803777705063,39777,43.8061551296078,30.0654791250809
68.40805807,133,1391897.231548,51.832029035,39743,53.1834056300687,34.2405444507267
55.758,143,428505,44.6803777705063,39856,43.8061551296078,30.0654791250809
63.824,146,1371338,44.6803777705063,40400,43.8061551296078,30.0654791250809
71.54,147,497524,44.6803777705063,39884,43.8061551296078,30.0654791250809
69.756,154,1040046,47.6712217131579,40134,49.2972604366309,36.6048093953014
73.936,164,12492,47.5130267316667,40275,49.1491346091097,73.936
61.80434803,178,1068228,32.5096331541667,40428,53.6048203855556,33.84714721923
53.388,182,1051596,47.6712217131579,40550,53.6048203855556,38.5827379996787
53.116,184,617300,30.9602993241277,40660,34.1193070866667,30.9030460682281
84.72,187,951720,72.714699007,40577,53.7833563143503,33.5907035669144
90.188,201,1948000,96.670966665,40496,46.2882683105663,43.5628592113037
75.576,204,696602,47.5130267316667,40562,43.8061551296078,40.9089231307811
94.12444184,207,1134264,30.9602993241277,40652,45.5781721456699,33.9628482693324
82.72679578,208,1201204,30.9602993241277,40646,45.5395440312666,34.3919522342516
182.758,209,1115891,44.6803777705063,40634,53.6048203855556,41.178615224662
64.232,217,1346749,44.6803777705063,40677,43.8061551296078,43.8186782058415
95.636,219,1055334,32.5096331541667,40661,75.8955196328,35.9550136879671
74.564,252,963942,47.6712217131579,40710,53.6048203855556,36.8418496173287
73.544,253,1360358,44.6803777705063,40784,53.6048203855556,51.1842273863158
129.9206302,254,1369538,44.6803777705063,40731,75.8955196328,36.4392731000131
152.468,259,2031500,96.670966665,40665,48.2778773651852,42.4395365648296
97.304,277,1428800,97.304,40846,44.6879920353636,39.3771131311229
59.932,279,1083306,75.028,40710,55.5130626627821,34.472677477757
88.32861051,281,919800.879312,111.173202195455,40693,75.8955196328,39.9219401543228
109.128,286,940044,47.6712217131579,40771,53.6048203855556,34.4213114464867
153.18,288,650545,47.5130267316667,40793,93.99,31.4171795848642
74.448,294,1225372,44.6803777705063,40829,34.1193070866667,51.1842273863158
124.084,298,1028748,72.714699007,40726,53.0249207310774,35.5968310901513
95.452,304,1013334,72.714699007,40754,52.5466140313741,34.6903638961834
57.424,309,1041852,75.028,40761,55.4332985980486,34.3771639087407
113.708,314,1711607.97,111.173202195455,40883,75.8955196328,43.1743880874371
57.56,325,474000,32.5096331541667,40863,34.1193070866667,30.0654791250809
85.224,340,1472640,44.6803777705063,40885,42.8197816938872,50.3394774558664
64.552,345,1390904,44.6803777705063,40885,53.6048203855556,51.1842273863158
185.44,349,735000,75.028,40813,54.5793099098681,35.409707818916
218.792,368,1074780,72.714699007,41122,52.1724509561385,36.0516179976402
87.312,369,1179099.24,34.1348240084615,40878,48.9590786754476,32.842976034036
61.836,371,1552081.26634,111.173202195455,40910,45.0466522836364,61.819241355
79.94,372,1219954,44.6803777705063,41092,43.8061551296078,40.4287242188795
61.80248271,381,2921372.268406,111.173202195455,40910,34.1193070866667,61.819241355
113.672,393,1519371,44.6803777705063,40907,45.0466522836364,51.1842273863158
80.704,394,2016,34.1348240084615,40892,49.0746722995736,34.2462121258186
84.304,396,555500,32.5096331541667,40989,43.8061551296078,30.0654791250809
56.136,399,1141207,44.6803777705063,40981,53.6048203855556,51.1842273863158
78.092,402,1003394.32,111.173202195455,40911,75.8955196328,39.9644363120615
53.216,404,1276470,44.6803777705063,41037,43.8061551296078,51.1842273863158
94.26,408,1236605,44.6803777705063,41036,43.8061551296078,51.1842273863158
91.968,413,1433542,44.6803777705063,41025,43.8061551296078,30.0654791250809
82.908,423,1344942,34.1348240084615,40968,48.2778773651852,35.6404069457956
58.692,425,653000,32.5096331541667,41106,43.8061551296078,30.0654791250809
67.44403123,439,871380,47.5130267316667,41059,43.8061551296078,30.0654791250809
231.404,454,808500,30.9602993241277,41042,43.8061551296078,33.4132314609985
107.336,461,295008,107.336,41134,53.6801365677732,38.672764429482
333.52,462,2213862,105.042648415,41120,48.2778773651852,37.873417042886
