EUR_o..Mstb.,WellID,Proppant...Total..lbs.,Surface.Longitude,Depth.Total.Driller..ft.,Depth.Base,Treated.Stage.Height
29.3341376,2264,470870,-101.95213,9305,7629,173
27.11062516,2266,471980,-101.94454,9313,7617,188
28.8424161,2267,470700,-101.96039,9240,7668,183
28.698,2270,474721,-101.82832,8920,7288,197
28.074,2271,473590,-101.82143,8881,7252,185
33.648,2274,116000,-102.049,10502,10208,98
32.264,2279,472150,-101.91047,9080,7459,212
27.552,2285,187351,-101.9777,10515,10237,53
28.94866663,2288,470820,-102.07952,9455,7917,167
25.244,2304,800820,-102.0355,10599,10267,2515
34.5821022,2315,351380,-102.10366,12554,10481,1302
32.056,2325,476670,-102.02548,9203,7762,193
36.984,2342,365875,-101.96478,10000,9871,764
39,2343,365875,-101.95957,10035,9859,810
34.05661012,2344,359875,-101.96911,10000,9860,759
19.3364338,2346,365875,-101.96831,10011,9823,765
38.624,2351,671000,-102.10353,10620,10185,2411
26.32,2353,837980,-101.9307,10010,7530,167
15.496,2357,416707,-101.91452,8454,7417,164
26.56,2361,356750,-101.96728,10033,9987,541
32.132,2367,479800,-101.91536,8468,7443,176
28.50589361,2380,36500,-102.02449,10403,10330,1153
37.07602193,2381,418000,-102.03477,10316,10184,975
34.36550187,2387,883105,-101.97049,10658,7542,174
36.45196917,2392,36500,-102.03133,10081,10027,853
5.68,2402,720000,-102.07431,10110,9896,68
37.424,2405,818300,-102.0606,11327,10920,176
26.59581059,2407,447474,-102.14444,10312,10170,1080
21.748,2459,572500,-102.10293,12700,12246,3064
31.468,2467,884126,-102.06218,10907,10786,3079
17.686,2473,877586,-102.00778,10772,7778,166
35.896,2483,730000,-102.05608,10140,9936,20
22.884,2501,619627,-101.91607,10786,10696,1704
39.636,2510,470600,-102.1578,10745,10604,1440
13.406,2541,725465,-101.90492,10829,10707,626
11.04,2545,659375,-101.91028,10825,10715,265
35.784,2554,1080119,-102.00983,10882,10728,1364
40.5,2570,728484,-102.07544,10763,10666,222
29.91337288,2579,657000,-102.05204,10665,10520,2750
18.912,2583,778674,-101.99914,11103,11018,2270
28.628,2585,508000,-102.1214,10492,10220,2250
25.588,2591,927500,-102.11949,11159,11020,3060
39.652,2613,1258004,-101.9599,10900,10652,1556
11.184,2620,922100,-101.91437,10899,10739,3375
25.36517554,2646,792212,-102.0815,10945,10570,2805
27.04989817,2660,298750,-101.98907,10983,10624,962
6.809624121,2663,150000,-102.07267,11584,11320,2280
13.405816,2664,762000,-102.07788,11500,11390,3405
23.064,2697,1417920,-102.0078,12161,11900,2866
26.44,2701,618812,-102.13045,10635,10290,1925
13.24119333,2710,126000,-102.07745,11400,11207,3159
41.028,2711,1303430,-102.10265,11364,11150,20
39.86,2715,1367375,-102.02111,10928,10629,1435
18.56,2718,879500,-102.11975,11460,11210,3260
34.92,2728,1317273,-101.96061,10953,10534,1377
46.25148171,2265,469940,-101.95141,9520,9065,209
56.128,2275,551000,-102.052,10520,10213,47
54.99745852,2282,190460,-102.0473,10500,10193,78
41.41698122,2295,523720,-101.94534,9614,9535,28
52.712,2331,207348,-101.95725,10010,9905,2464
50.01729324,2339,317200,-102.04286,10767,9205,87
46.4913173,2355,849260,-101.99463,10540,7611,165
44.856,2359,645000,-102.06958,10550,10499,416
49.9394299,2370,827900,-102.07379,10459,10459,2145
41.136,2375,27629.525,-101.96371,10027,9484,358
48.028,2378,356750,-101.96643,9991,9873,761
41.364,2390,6700977.6236661,-102.072,10300,9810,1960
51.28691275,2403,74000,-101.98988,10000,10000,108
46.908,2408,430101,-102.16073,10226,10076,876
43.112,2411,802329,-101.97163,10312,10210,1990
53.768,2412,675000,-102.10995,10410,10282,2518
48.844,2432,1012580,-102.02649,10892,7811,163
56.568,2441,879800,-102.01304,10880,7838,168
53.86,2453,643865,-102.01528,10790,10709,1555
56.358,2463,1306003,-102.02967,10898,10752,290
56.68,2464,774138,-102.02159,10905,10656,3093
49.844,2465,794375,-102.01928,10845,10732,3157
57.16,2468,469180,-101.89823,10837,10724,1725
45.976,2489,1416195,-102.00966,10859,10641,1487
56.768,2493,1079302,-102.03083,10919,7938,165
46.432,2511,644037,-102.0879,10595,10500,2245
50.188,2513,1216320,-102.11375,10565,10428,2597
53.87031232,2529,800620,-102.10833,12684,12276,3085
44.95842123,2532,602440,-101.92025,11015,10990,1728
54.86,2537,733702,-102.10431,10605,10490,2570
52.52,2552,1208765,-101.99378,10850,10627,1533
55.86,2553,1354816,-102.02134,10778,10622,1388
57.116,2555,1116006,-101.99773,10900,10690,1474
54.856,2559,1799100,-102.00374,10890,10657,1441
54.916,2562,1042520,-102.05671,10439,10169,264
52.436,2574,4476940,-101.95831,10779,10600,136
51.00215902,2582,639272,-102.04776,10960,10700,245
41.064,2593,996212,-102.05935,11487,11350,3500
56.956,2608,765300,-102.11831,11205,10980,2945
47.424,2612,1209728,-101.95416,10870,10668,1538
52.316,2622,497189,-102.11414,11033,10850,1580
47.26,2635,698500,-102.06801,10814,10485,2605
43.216,2643,1515583.945,-101.92573,11093,10948,2956
55.148,2647,1361638,-101.98781,10890,10704,1517
44.156,2648,1344527,-102.00708,10855,10742,1675
52.592,2649,1391776,-101.99771,10905,10679,1426
47.17776158,2671,836650,-102.12013,11462,11250,3315
57.84,2675,723275,-102.13358,10681,10270,2320
49.624,2677,756750,-102.01882,10800,10670,260
44.348,2694,1281451,-101.97057,10921,10492,1448
50.208,2695,1422521,-101.95869,10954,10557,1515
53.736,2702,772500,-102.13041,10725,10320,2430
53.004,2707,952500,-102.10992,11505,11250,3285
46.248,2726,807151,-102.00094,11147,11012,2130
55.08842362,2730,875000,-101.90725,10832,10707,256
68.516,2273,150700,-102.0466,10515,8669,176
69.67213496,2305,801640,-102.0336,10545,10247,2894
63.79352249,2318,763000,-102.06845,10655,10247,2935
65.876,2319,790500,-102.08447,10675,10352,2955
72.612,2332,741000,-102.09996,10680,10267,2514
58.74358986,2334,340492,-102.00748,10354,9313,106
58.388,2360,221500,-101.97573,10050,9903,251
61.572,2366,1303680,-102.06164,10628,10528,2260
77.25084903,2409,445720,-102.1282,10416,10208,1004
67.692,2413,660000,-102.08967,10539,10353,2602
69.34,2424,1219456.055,-102.01465,10972,10850,2562
68.288,2426,1030282,-102.07773,10885,10705,63
73.564,2428,938079,-102.09619,10840,10562,213
76.856,2434,452615,-102.01369,10300,10187,1049
60.556,2440,819760,-102.01877,10904,8399,149
68.756,2445,449300,-102.02025,10324,10177,1036
66.76,2457,634043.18,-102.01531,10800,10286,1110
76.244,2466,1609663,-102.04404,10931,10799,3428
71.148,2469,673200,-102.12475,10563,10340,2380
71.56,2470,393500,-102.11392,10550,10365,2000
64.64,2474,1070158,-102.02124,10801,7780,162
62.008,2476,806450.215406661,-102.12895,10508,10270,1920
58.968,2512,886503,-102.11626,10575,10356,2551
70.732,2517,813500,-102.09625,10715,10440,3095
60.584,2526,735000,-102.11636,10584,10405,2435
57.864,2535,1496543.945,-101.91794,11225,11050,3090
77.416,2538,1030901,-101.97369,10864,10672,1510
60.44,2539,1138269,-101.986,10884,10646,1526
69.892,2540,1375281,-101.98443,10896,10174,974
59.936,2544,1306043,-102.0279,10933,10758,1395
75.196,2546,604688,-102.03303,10835,10459,2822
65.652,2550,1187003,-101.9956,10884,10652,1478
63.628,2557,1218727,-102.02718,10935,10708,1485
61.92,2561,1239630,-102.01876,10752,10622,1486
59.18,2564,734050,-102.09044,10620,10520,2685
66.252,2572,935460,-101.98006,10900,10682,214
77.244,2576,651821,-102.09789,11305,11135,1855
63.92773658,2577,1310274,-101.99197,10885,10482,1295
58.5,2578,706805,-102.01112,10830,10725,269
58.696,2598,822000,-102.111,11293,11010,3060
63.59055022,2599,778358,-102.11313,10896,10516,206
60.272,2615,1131351,-101.98273,10830,10661,1577
61.344,2616,1082917,-101.97454,10890,10694,1538
63.756,2623,550000,-102.10916,11011,10880,1730
59.452,2638,732500,-102.10938,10693,10370,2500
65.012,2653,1479543,-101.9528889,10854,10564,828
77.016,2661,516900,-102.04581,10932,10730,2188
68.532,2668,858000,-102.02257,10887,10704,253
74.832,2670,858000,-102.01936,10810,10681,211
66.256,2687,702544,-102.07032,10950,10420,2530
69.26,2691,1533446,-102.03923,10833,10606,1417
66.716,2699,1400091,-101.97111,10755,10510,1559
69.256,2713,573050,-102.11716,11512,10240,2410
67.192,2716,1110849,-102.13598,11285,11160,206
64.4331449,2731,465600,-102.15155,11125,10905,1660
106.1477728,2293,1208031.973,-102.06553,10775,10324,2992
98.168,2297,762680,-102.0502,10500,10334,2597
97.30476843,2306,946180,-102.0253,10546,10307,2967
142.2787642,2309,800960,-102.0586,10406,10188,2442
200.612,2310,947126,-102.0615,10410,10304,2558
81.896,2314,950150,-102.0592,10407,10174,2436
90.536,2322,763000,-102.07673,10674,10175,2860
99.872,2323,788000,-102.07903,10662,10315,2931
96.516,2324,760500,-102.09198,10671,10330,2592
83.18,2364,703547,-102.07149,10376,10372,1051
82.47706427,2379,585000,-102.05738,10670,10182,2543
83.504,2398,660000,-102.09245,10505,10321,2580
163.868,2420,1673314,-102.00351,11000,10970,20
81.38080816,2427,1053000,-102.0348,10900,10722,212
85.712,2438,678625,-102.02138,10872,10687,266
97.788,2444,976122,-102.03472,10735,8348,102
96.684,2485,732500,-102.09393,10600,10460,2630
100.196,2519,631100,-102.13475,10500,10270,2500
106.66,2521,1167040,-102.09423,11540,11320,3515
128.1435505,2523,732500,-102.05501,10665,10455,2800
86.264,2524,998750,-102.12263,11304,11200,3235
98.63218937,2525,829171,-102.10577,11334,11220,3290
83.4068458,2527,1235186,-101.96216,10865,10618,1498
90.052,2528,1452371,-101.9858,10892,10602,1448
101.464,2536,876280,-101.91497,11606,11290,2472
104.8542318,2542,922125,-102.06,10884,10780,277
99.744,2584,747540,-102.08586,10728,10420,2530
131.4437137,2589,923839,-102.10538,11244,11150,3205
80.024,2605,708500,-102.07363,10685,10450,2590
140.7955167,2606,870000,-102.09707,11389,11220,3300
80.232,2610,758258,-102.13359,10770,10404,209
80.628,2619,900116,-101.98036,10882,10680,1558
113.072,2627,909874,-102.12832,10725,10300,2505
106.628,2628,978413,-102.1308,10554,10250,2481
93.704,2631,498353,-102.13071,10896,10720,1430
97.424,2637,838380,-102.11507,10674,10376,2514
91.812,2639,852500,-102.08232,10680,10420,2550
106.52,2641,471000,-102.1409,11550,10680,1600
81.392,2642,6316127.891,-102.14988,10915,10785,1610
163.956,2644,699035,-102.11672,10610,10390,2610
176.1857485,2645,699004,-102.08872,11517,11380,3460
87.508,2651,1113757,-102.02101,10907,10576,1378
92.204,2665,837500,-102.1176,11410,11200,2800
79.2680371,2672,871000,-102.11779,11495,11230,3350
80.144,2674,910000,-102.10145,11373,11260,3310
90.088,2678,785730,-102.01252,10820,10702,252
88.172,2682,837125,-102.01186,10819,10696,236
82.608,2686,638027,-102.07305,10700,10290,2390
128.3355706,2698,719500,-102.03305,10878,10700,390
113.412,2703,1456000,-102.00131,10472,10300,1931
107.56,2709,586160,-101.95375,12014,11922,2492
125.684,2719,1341760,-101.99403,12200,11586,2626
116.856,2720,1288000,-101.99906,12040,11880,2892
89.228,2721,1426880,-101.99861,12200,11730,2706
137.532,2725,891950,-102.11833,11465,11180,3340
