Subarea,Operator.Numeric,County.Numeric,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,DeepestZoneNumeric,Frac.Stages,Treatment.Records,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.
D,27,1,2003,31.71139,-101.70645,8605,160,20,7,3,8,471100,194252,40.04565233
D,27,1,2011,31.89498,-101.72244,10451,160,40,1,4,8,1390858,1398056,49.112
A,10,2,2012,31.83429,-102.135,10977,80,40,1,1,1,888500,1409520,36.652
A,13,2,2005,31.737,-101.968,10520,40,80,7,4,8,181757,297175,11.199
B,27,4,2012,31.50111,-102.00708,10855,40,80,1,3,6,1344527,1268582,44.156
B,27,4,2007,31.49626,-102.04286,10767,40,160,7,5,10,317200,461702,50.01729324
C,27,2,2004,31.77164,-101.85117,9060,40,40,7,3,6,475120,205238,46.312
F,2,3,2008,31.61568,-101.5237,8534,40,80,7,3,3,381000,374000,21.292
B,13,2,2006,31.6541,-101.9841,10718,40,80,7,1,1,258000,328986,35.08
B,27,2,2006,31.72489,-101.93896,10532,40,40,7,6,11,403220,477059,26.9138779
C,27,2,2011,31.94914,-101.83684,10581,40,40,1,4,8,1475648,1371521,18.89
F,14,1,2012,31.67853,-101.42438,10035,NA,NA,NA,7,14,845000,578000,19.944
D,14,1,2011,31.73728,-101.59195,10593,40,160,1,7,13,685000,608000,30.492
B,10,4,2006,31.51054,-102.09198,10671,40,Over 160,7,1,2,760500,956500,96.516
C,27,2,2011,31.85775,-101.9676,10843,40,80,6,4,8,1223434,1049823,48.756
B,2,4,2012,31.56407,-101.91437,10899,40,80,6,9,9,922100,1017500,11.184
F,13,3,2010,31.57343,-101.51137,8524,80,40,7,1,2,901360,707784,42.036
A,2,2,2007,31.69855,-102.1625,10083,80,40,7,6,12,528357,409977,1.224
F,18,3,2010,31.55632,-101.42962,8520,80,40,7,8,8,NA,NA,38.75937114
B,27,4,2012,31.50212,-102.03923,10833,20,160,7,3,6,1533446,1396263,69.26
A,13,2,2003,31.76507,-102.01066,11000,40,160,7,1,1,401920,421008,68.90641599
D,2,1,2011,31.8308,-101.54607,10885,NA,NA,NA,7,7,520438,694000,15.464
E,27,1,2003,31.65753,-101.72135,8550,160,40,7,3,6,471330,190946,40.2
E,27,3,2004,31.53355,-101.62035,8205,80,40,7,3,6,473390,200262,28.67926976
A,3,2,2008,31.77224,-102.06153,10187,80,40,7,8,16,538500,22400,45.716
A,2,2,2007,31.69502,-102.19268,10082,80,40,7,7,14,539746,475458,31.008
B,13,2,2004,31.6877,-102.0657,10520,80,80,7,4,8,174296,282080,43.176
B,27,4,2012,31.50978,-102.02101,10907,40,160,6,2,4,1113757,1244056,87.508
B,5,2,2011,31.6993,-101.94911,11731,80,40,1,15,15,613084,804672,0.292
B,2,4,2010,31.55987,-102.01531,10800,40,40,7,3,3,NA,NA,66.76
B,2,4,2010,31.50843,-102.03808,10345,40,160,7,3,3,459125,554400,64.33160572
A,13,2,2008,31.78995,-102.19231,10996,80,80,6,1,1,605250,615510,28.148
B,10,4,2012,31.50543,-102.0815,10945,40,Over 160,7,1,1,792212,1205526,25.36517554
B,3,4,2010,31.62561,-102.072,10300,160,40,7,1,2,6720000,685916,41.364
A,27,2,2003,31.74378,-101.97116,10520,40,80,7,5,10,388286,381034,46.92
B,13,2,2003,31.6616,-102.0168,10500,40,80,7,5,10,274296,330964,45.17484084
F,13,3,2010,31.56234,-101.50168,9915,80,40,7,1,2,1144640,1035888,66.52
E,2,3,2003,31.48016,-101.63969,8218,80,40,7,1,1,482040,260484,48.13532361
A,24,2,2003,31.79229,-102.02351,10900,40,160,7,1,2,39200,155500,37.467
E,27,3,2006,31.51176,-101.73341,8491,160,40,5,3,6,470500,193178,41.23692755
B,3,2,2008,31.66928,-102.09523,10055,160,40,7,8,16,815400,964596,16.964
B,27,2,2008,31.65638,-101.97487,10513,80,40,7,6,12,751509,707777,53.684
F,14,1,2012,31.67599,-101.41896,9920,NA,NA,NA,7,14,879800,598000,10.816
E,2,3,2009,31.48339,-101.65834,8177,20,40,5,2,2,268625,297000,17.03817508
D,4,1,2011,31.98601,-101.68949,10370,160,Over 160,1,8,16,612000,26040,46.9
A,13,2,2003,31.76532,-101.99273,10520,40,80,7,4,8,165500,290388,87.43651256
F,18,3,2010,31.56714,-101.42099,8510,40,20,7,NA,1,NA,NA,44.716
E,27,3,2005,31.57009,-101.65913,8335,160,40,5,3,6,480040,190233,17.988
A,10,2,2012,31.84494,-102.15148,11005,80,40,1,1,1,926180,1445514,67.568
E,27,3,2005,31.47772,-101.70042,9270,40,40,7,5,11,506310,359487,63.044
D,5,1,2012,31.95066,-101.7749,11245,NA,NA,4,9,18,948376,1096176,65.64977319
C,27,2,2011,31.83316,-101.97452,10860,NA,NA,6,2,4,1027250,1140396,116.928
B,25,4,2012,31.6008,-101.97147,12152,40,40,4,1,1,1263360,1272138,89.408
B,2,4,2010,31.55594,-101.91607,10786,80,40,6,3,3,619627,732000,22.884
B,34,4,2011,31.55359,-102.00891,10907,40,40,1,1,2,840066,862680,68.208
D,13,1,2007,31.96402,-101.7528,10840,40,80,1,1,1,802700,649698,45.27229149
C,27,2,2003,31.75038,-101.94247,10500,80,160,7,5,10,388890,361856,29.12342212
A,12,2,2010,31.84541,-102.03526,10170,80,Sub 20,7,1,2,436450,509300,43.112
B,23,2,2011,31.70779,-101.93308,10873,40,40,7,1,2,892456,638902,64.704
C,17,2,2004,31.89854,-101.90584,8962,80,20,7,3,3,575000,220000,28.016
A,27,2,2006,31.87755,-102.02808,10330,40,Sub 20,7,5,9,682912,407413,34.48
A,2,2,2008,31.79339,-102.16256,10005,80,40,7,5,10,564100,534815,37.72997991
B,27,2,2007,31.72431,-101.92502,10540,40,40,7,7,13,549019,457646,51.112
D,27,1,2003,31.70902,-101.71715,8650,40,40,7,3,8,471570,200787,54.56512178
B,10,4,2010,31.50249,-102.0936,10630,40,Over 160,7,1,2,684500,22214,34.192
B,13,4,2007,31.6496,-102.0355,10599,80,80,7,1,1,800820,1072134,25.244
F,18,3,2008,31.55993,-101.42533,8720,80,20,7,NA,9,NA,NA,44.144
B,28,4,2008,31.56122,-101.97573,10050,40,80,7,5,5,221500,573000,58.388
A,10,2,2012,31.85546,-102.15482,11028,40,80,1,1,2,843000,1295608,76.764
E,2,3,2005,31.43548,-101.65264,8239,40,20,7,2,2,100450,383200,20.25828222
B,27,4,2008,31.49475,-101.99463,10540,80,80,7,8,16,849260,708296,46.4913173
F,18,3,2009,31.60025,-101.45459,8197,80,40,7,7,7,NA,NA,13.256
A,14,2,2011,31.83423,-102.19834,10574,80,80,7,1,1,805680,1157520,43.248
D,27,1,2008,31.79072,-101.64008,10176,160,40,7,6,12,514420,445228,24.14
B,27,4,2012,31.49566,-101.98907,10983,80,20,1,1,2,298750,373632,27.04989817
E,27,3,2003,31.54523,-101.62044,8198,80,40,5,3,8,470740,207337,35.02434343
D,4,1,2012,31.84969,-101.57873,10430,80,Over 160,NA,1,2,960000,1163414,20.472
F,27,1,2007,31.70227,-101.6474,8851,160,20,7,4,4,449160,273756,31.07150317
A,13,2,2004,31.73909,-101.97508,11100,40,Sub 20,7,1,1,349710,426888,39.38
C,13,2,2004,31.85985,-101.94259,11750,40,20,7,1,1,434510,305340,67.268
C,27,2,2012,31.92695,-101.84699,10428,40,40,7,3,6,1444110,1392470,123.4073116
F,2,3,2006,31.58415,-101.51374,8500,80,40,7,2,2,151023,492870,30.248
D,27,1,2011,31.87397,-101.72086,10306,80,80,7,3,6,1285422,1639377.184,23.642
F,2,1,2006,31.71755,-101.56402,8255,80,40,7,2,2,155650,497600,18.55149194
A,13,2,2007,31.83971,-102.21262,11186,80,Over 160,1,1,2,491380,655116,31.828
F,4,1,2011,31.70158,-101.42258,9993,160,Over 160,1,7,14,501500,28014,19.484
D,27,1,2008,31.98413,-101.73284,9976,80,Over 160,7,11,22,1328840,697906,17.38
B,10,4,2011,31.50493,-102.06801,10814,40,160,7,1,1,698500,1096074,47.26
F,14,1,2011,31.72296,-101.55754,10711,40,160,1,8,15,823000,667500,41.792
F,18,3,2008,31.57789,-101.40384,8700,80,160,7,NA,7,NA,NA,26.296
A,13,2,2004,31.78397,-102.15479,11000,160,80,7,1,1,357950,457338,33.5191448
E,27,3,2003,31.61864,-101.64783,8345,160,40,7,3,6,472920,192976,42.688
B,17,4,2012,31.55591,-102.12495,11318,160,80,1,11,22,1164992,835204,72.148
C,27,2,2012,31.88041,-101.9667,10810,40,Sub 20,6,4,8,1506739,1375652,95.82
F,27,3,2009,31.56374,-101.39485,9098,80,160,7,8,16,722180,578138,37.532
A,13,2,2003,31.8236,-102.0512,10503,160,80,7,4,8,170000,265364,23.48530212
E,27,1,2004,31.65926,-101.69933,8560,160,40,7,3,6,472190,188918,51.73461391
B,28,4,2008,31.56216,-101.97163,10013,40,40,7,3,3,356750,454500,36.436
E,27,3,2003,31.46127,-101.72219,9250,80,20,7,3,8,471451,204202,33.312
D,2,1,2011,31.73955,-101.62893,10985,80,80,4,7,7,993540,1134264,94.12444184
B,13,4,2010,31.50607,-102.10293,12700,40,Over 160,4,1,2,572500,987462,21.748
C,27,2,2005,31.78865,-101.82521,8850,80,20,7,2,4,370720,154462,31.136
F,2,3,2006,31.6287,-101.54973,8072,40,80,7,2,2,124500,387700,26.04
C,27,2,2007,31.83189,-101.96414,10243,40,160,7,6,12,404060,424314,65.584
C,27,2,2005,31.81198,-101.85492,8814,Over 160,20,7,2,4,336760,137741,33.076
C,27,2,2012,31.92667,-101.89737,10429,80,80,7,3,6,1299161,1101776,14.904
D,11,1,2012,31.82267,-101.5843,10567,80,Over 160,NA,1,1,935200,936726,24.56
F,18,3,2008,31.57057,-101.40396,8693,40,160,7,7,7,NA,NA,20.18
F,13,3,2007,31.64282,-101.45287,8012,Over 160,80,7,1,1,750420,533778,11.324
B,3,4,2010,31.63271,-102.07431,10110,80,40,7,6,12,720000,626940,5.68
B,27,4,2011,31.51661,-101.98006,10900,40,80,1,4,8,935460,876800,66.252
B,2,4,2012,31.51677,-102.01928,10845,80,80,1,8,8,794375,887500,49.844
A,13,2,2006,31.83454,-102.21098,11176,80,Over 160,7,1,1,550420,606396,39.916
A,13,2,2003,31.7056,-102.1026,10527,80,80,6,5,10,283000,330795,45.38
E,27,3,2010,31.5253,-101.74867,10675,40,20,6,10,20,968831,990020,67.29519571
F,2,3,2009,31.62538,-101.53113,8500,40,80,7,2,2,64750,502250,20.56059578
B,13,2,2004,31.7204,-101.9734,10500,40,80,7,4,8,186700,289110,23.75980535
B,23,2,2011,31.71062,-101.93136,10952,40,80,6,1,2,530100,431800,4.528
F,18,3,2010,31.56728,-101.4337,8518,40,20,7,8,8,NA,NA,30.128
F,18,3,2010,31.60014,-101.44606,8648,80,40,7,8,8,NA,NA,31.16
D,5,1,2012,31.94439,-101.73731,11420,80,20,2,9,19,754603,914684,20.776
E,2,3,2005,31.50308,-101.63808,8265,20,40,7,2,2,100450,383200,29.104
A,10,2,2011,31.8131,-102.17307,11445,80,Over 160,1,1,1,782000,1169910,57.208
F,2,3,2006,31.58863,-101.51083,8526,80,40,7,2,2,149700,504800,31.956
B,27,4,2010,31.60639,-102.02649,10892,80,20,7,9,18,1012580,1022406,48.844
C,27,2,2012,31.82874,-101.79834,11147,Over 160,40,3,4,8,1509415,1688884,69
E,2,3,2005,31.44672,-101.66954,8259,80,40,7,2,2,100450,383200,20.695
E,2,3,2003,31.52689,-101.6323,8240,40,40,7,1,1,290200,197782,16.66110048
F,18,3,2009,31.60701,-101.40764,8208,160,40,7,7,7,NA,NA,23.48
E,27,3,2003,31.58599,-101.73897,8620,160,40,7,3,7,472280,197649,24.501905
F,27,3,2007,31.55135,-101.60871,8213,80,40,7,3,6,473820,237986,53.592
D,14,1,2007,31.74921,-101.60913,8750,40,160,7,4,7,603100,602308,20.11541731
F,18,3,2011,31.54897,-101.42127,8500,40,160,7,8,8,NA,NA,27.74933842
E,27,3,2004,31.45627,-101.69414,9208,40,40,7,4,8,510150,351969,33.608
A,2,2,2008,31.79067,-102.15701,9902,80,40,7,6,12,638540,497377,49.64048366
C,27,2,2006,31.83933,-101.94861,10093,40,80,7,6,12,414280,441148,67.74792166
C,27,2,2008,31.73613,-101.83289,9082,40,20,7,3,6,456640,174603,16.264
A,20,2,2011,31.73831,-102.20196,10800,40,160,1,1,1,600000,840000,165.852
F,18,3,2009,31.58535,-101.42071,8306,80,40,7,7,7,NA,NA,39.328
A,27,2,2011,31.80353,-102.20111,10354,40,Over 160,7,3,6,1308120,1251750,70.588
E,27,3,2005,31.46632,-101.68399,9206,80,40,7,5,11,509690,357066,51.59316437
F,18,3,2008,31.5851,-101.39944,8495,80,160,7,NA,1,NA,NA,19.908
C,27,2,2006,31.85219,-101.92604,10012,40,80,7,5,10,686660,553119,59.18129168
E,27,3,2005,31.46522,-101.70543,9254,80,40,7,5,10,509510,330452,21.748
E,27,3,2004,31.56653,-101.74174,8610,40,40,7,3,6,471020,204458,55.96
C,27,2,2007,31.78086,-101.95682,10550,40,160,7,6,12,576520,441745,41.824
A,24,2,2004,31.76622,-101.98814,11000,40,80,7,1,2,329600,94900,36.16
E,2,3,2003,31.54763,-101.67463,8237,20,40,7,1,1,290360,193372,39.96278973
E,2,3,2005,31.54289,-101.64619,8360,40,80,7,2,2,100450,383200,36.55831701
F,27,1,2003,31.65389,-101.62808,8335,80,40,7,3,8,472820,203996,42.256
A,3,2,2012,31.73356,-102.08893,11350,20,20,1,1,2,123000,1541994,86.52
E,2,3,2004,31.47781,-101.61691,8210,40,80,7,2,2,350000,220506,25.66
F,14,1,2012,31.7182,-101.48035,10057,NA,NA,NA,7,14,889000,592000,32.164
B,10,4,2012,31.53922,-102.10145,11373,40,160,1,1,1,910000,1398978,80.144
D,27,1,2011,31.91226,-101.74536,10275,80,40,6,4,8,1494110,1360358,73.544
F,2,1,2006,31.70857,-101.57012,8205,160,80,7,2,2,101720,383600,12.164
B,13,2,2003,31.70266,-102.03501,10700,80,160,7,1,1,386540,317940,14.66478303
F,13,3,2011,31.64534,-101.51921,10313,80,80,1,1,2,717166,864696,55.38
E,2,3,2003,31.42459,-101.64939,8200,40,40,7,1,1,135000,90365,49.95212264
A,13,2,2003,31.7462,-102.027,10542,80,160,7,5,9,260479,323611,53.92
B,10,4,2011,31.50704,-102.05935,11487,40,80,NA,1,1,996212,1563240,41.064
E,2,3,2003,31.5389,-101.68047,8246,40,40,7,1,1,291000,154000,13.363
C,27,2,2008,31.78892,-101.95455,10538,40,160,7,6,12,577240,387303,43.384
B,2,4,2012,31.56951,-101.90725,10832,40,40,6,7,7,875000,790000,55.08842362
E,2,3,2003,31.52899,-101.6904,8310,20,40,5,1,1,290680,134832,36.78123071
E,2,3,2003,31.45887,-101.63308,8225,40,40,7,1,1,290180,185136,40.292
F,18,3,2010,31.57076,-101.42029,8510,80,80,7,8,8,NA,NA,30.7
E,2,3,2008,31.52342,-101.66206,8284,40,40,7,2,2,293100,242240,23.904
E,27,3,2010,31.52215,-101.75427,8580,40,40,5,4,8,556756,241416,38.064
F,14,1,2012,31.68625,-101.5025,10173,40,Over 160,NA,7,14,843000,555500,84.304
B,13,4,2004,31.6316,-102.0473,10500,80,80,7,4,8,190460,298768,54.99745852
D,27,1,2011,31.86166,-101.70396,10340,160,20,6,4,8,1380160,1252851,39.84
A,24,2,2004,31.77179,-101.98067,11000,40,80,7,1,2,301000,292000,34.484
B,13,2,2003,31.68367,-102.08208,10520,80,80,7,5,10,259800,333255,48.24447828
F,13,3,2010,31.56444,-101.53416,8525,Over 160,80,7,1,2,2069536.055,738024,17.524
B,27,4,2011,31.52087,-101.97454,10890,40,160,1,3,6,1082917,857126,61.344
E,20,3,2007,31.48161,-101.7329,9320,160,40,7,1,1,610350,676032,54.768
F,18,3,2010,31.63639,-101.41144,8572,80,Over 160,7,8,8,NA,NA,43.756
A,27,2,2006,31.87085,-102.05693,10341,40,160,7,4,8,612489,322923,19.24822649
F,18,3,2010,31.62608,-101.42818,8260,80,160,7,7,7,NA,NA,41.536
C,27,2,2006,31.84716,-101.96459,10243,40,80,7,6,12,412940,487816,48.948
D,27,1,2011,31.8478222,-101.6853695,10344,160,40,6,4,8,1424293,1367077,44.632
B,28,4,2008,31.56771,-101.9646,10033,40,40,7,3,3,356750,368000,36.356
F,2,3,2007,31.63936,-101.54416,8171,40,80,7,2,2,123000,364490,41.63943828
A,13,2,2007,31.7231,-102.0774,10571,80,160,6,1,1,803710,819294,59.852
F,14,1,2011,31.69927,-101.44853,10064,80,Over 160,6,7,14,446000,527000,15.6
B,10,4,2011,31.49749,-102.05204,10665,80,160,7,1,1,657000,925778,29.91337288
E,27,3,2006,31.53227,-101.72656,8500,80,40,5,3,6,470820,197074,30.32445978
A,32,2,2011,31.75734,-102.14178,10555,160,40,6,1,1,830181,1314264,84.592
F,2,3,2007,31.61928,-101.52545,8526,40,40,7,2,2,319375,383100,34.8
F,2,3,2008,31.62604,-101.5624,8043,40,20,7,2,2,293100,242240,10.508
F,27,3,2007,31.59881,-101.61528,8223,40,20,5,3,6,470499,198577,38.736
E,2,3,2003,31.46139,-101.63917,8238,20,40,7,1,1,291891,189966,35.07129045
E,2,3,2004,31.43409,-101.64222,8267,40,40,7,2,2,360000,367506,8.388
B,28,4,2007,31.54646,-101.95725,10010,40,40,7,1,1,207348,569436,52.712
B,13,2,2005,31.7157,-101.9768,10530,80,160,7,4,8,170481,294428,46.052
F,2,3,2006,31.61703,-101.56814,8061,160,40,7,2,2,100450,383200,27.472
F,14,1,2011,31.67721,-101.44663,10016,40,Over 160,1,7,14,820000,552000,45.868
D,11,1,2012,31.81143,-101.56201,10623,NA,NA,NA,1,1,627400,732312,18.684
E,2,3,2006,31.39727,-101.67185,8534,40,80,7,2,2,170516,480144,21.62124164
B,27,4,2011,31.52425,-101.9599,10900,40,40,1,3,6,1258004,941472,39.652
E,27,3,2005,31.47835,-101.71422,9274,80,40,7,5,10,509190,345278,29.26563545
C,27,2,2012,31.84783,-101.94692,10726,40,80,1,4,8,1345603,1363808,78.66
A,32,2,2012,31.72785,-102.14918,10667,80,40,7,1,1,802974,1161972,125.6
D,11,1,2011,31.81269,-101.59484,10438,40,Over 160,1,1,1,985400,951720,84.72
B,17,4,2010,31.55121,-102.0348,10900,160,80,7,9,18,1053000,36291,81.38080816
D,27,1,2009,31.79265,-101.63186,10161,160,80,7,6,12,554580,453297,39.94539112
F,2,3,2003,31.61,-101.56592,8000,80,40,5,3,6,463200,175000,25.408
A,10,2,2011,31.85195,-102.15367,11042,40,80,1,1,1,965380,1476930,51.354
E,27,3,2010,31.53657,-101.75736,8660,40,20,5,4,8,512012,227400,42.76791385
E,27,3,2006,31.51283,-101.74698,8539,40,40,7,3,4,471140,194730,43.98483889
D,27,1,2011,31.97763,-101.71255,10285,80,160,6,4,8,1525120,1306628,29.21941362
A,13,2,2003,31.7199,-102.0585,10510,40,40,7,5,9,277400,334328,40.888
A,13,2,2005,31.8043,-102.0359,10510,40,40,7,4,8,182317,298653,57.032
F,14,1,2012,31.72497,-101.46528,10120,NA,NA,NA,7,14,827000,562500,37.772
B,10,4,2010,31.49102,-102.09423,11540,40,160,1,1,2,1167040,22500,106.66
F,18,3,2010,31.57859,-101.46337,8695,80,40,7,7,7,NA,NA,49.684
A,13,2,2006,31.76283,-102.0857,10771,80,160,1,1,1,700800,655956,48.14260508
A,27,2,2006,31.88201,-102.02508,10234,40,Sub 20,7,6,12,525080,444639,47.436
A,9,2,2006,31.82184,-102.01087,10460,80,80,7,5,6,549375,312000,78.06
B,10,4,2011,31.63012,-102.13071,10896,80,20,1,1,1,498353,944454,93.704
F,18,3,2010,31.58227,-101.46788,8737,80,40,7,7,7,NA,NA,28.812
E,2,3,2006,31.54559,-101.66468,8334,40,40,7,2,2,123000,353400,25.05108889
E,27,3,2010,31.53076,-101.74153,10710,40,20,6,10,20,932678,1112538,49.108
B,10,4,2011,31.57283,-102.08586,10728,80,40,7,1,1,747540,1087686.633,99.744
A,13,2,2008,31.813,-101.98058,10217,80,80,7,1,1,744410,304248,21.632
F,18,3,2011,31.54524,-101.41286,8410,40,160,7,8,8,NA,NA,14.80278957
E,27,3,2005,31.60121,-101.63805,8325,80,40,5,3,6,471000,198864,17.6
A,27,2,2008,31.76883,-102.18548,10715,NA,NA,7,4,8,111520,297889,15.003
F,2,3,2009,31.59294,-101.52539,8527,40,40,7,2,2,63350,448250,23.77308795
F,27,3,2012,31.54188,-101.39231,8992,40,80,7,3,6,1215316,1049999,13.992
E,2,3,2007,31.40627,-101.66589,8147,40,40,7,2,2,123000,370104,18.7
C,27,2,2007,31.87692,-101.96556,10101,40,Sub 20,7,5,11,388540,350034,33.952
C,27,2,2006,31.79145,-101.9598,10512,40,80,7,5,12,384232,507816,48.764
D,13,1,2007,31.85385,-101.66055,10499,160,Over 160,1,1,1,799820,616476,40.092
E,2,3,2004,31.43709,-101.66175,8231,40,40,7,2,2,360000,367506,27.77576071
D,27,1,2003,31.71566,-101.71787,8550,40,40,7,3,8,476570,206390,39.05038257
F,18,3,2010,31.59294,-101.45039,8660,160,40,7,8,8,NA,NA,45.516
A,24,2,2003,31.78587,-102.03544,10500,40,80,7,1,2,366000,303000,54.188
F,4,1,2011,31.70065,-101.48874,10200,40,Over 160,1,8,16,562000,24108,26.888
A,13,2,2006,31.7377,-102.0954,10626,80,40,6,1,2,580100,594128,32.8
F,18,3,2010,31.56723,-101.42946,8532,40,20,7,8,8,NA,NA,27.556
E,27,3,2004,31.57116,-101.72116,8532,80,20,7,3,6,471970,199292,34.12554949
C,27,2,2012,31.91885,-101.99661,11267,Over 160,Over 160,6,4,8,1058922,1098116,56.644
C,27,2,2008,31.80739,-101.95612,10252,40,80,7,6,12,538540,564510,32.316
E,2,3,2004,31.50218,-101.62458,8300,80,40,7,2,2,350000,220506,26.52292632
B,27,4,2008,31.50219,-102.03612,10528,40,160,7,10,20,843089,848418,73.2
B,13,2,2004,31.7076,-102.0459,10520,40,40,7,4,8,188306,298979,62.57131418
B,13,2,2004,31.7214,-101.9693,10530,40,40,7,4,8,187800,275369,20.608
A,2,2,2007,31.71654,-102.18229,10111,80,40,7,6,12,592184,450221,27.816
B,27,4,2011,31.51813,-101.97369,10864,40,80,1,4,8,1030901,1141818,77.416
C,27,2,2012,31.85802,-101.90099,10606,160,40,6,3,6,1445816,1192926,132.544
A,13,2,2003,31.74844,-102.01795,10300,80,40,7,1,1,447660,284844,59.86412198
B,27,2,2003,31.73105,-101.94476,10502,160,40,7,4,8,372160,291005,36.512
B,10,4,2011,31.498,-102.09653,10610,40,Over 160,7,1,1,743500,1087044,43.176
B,10,4,2010,31.5176,-102.09393,10600,80,160,7,1,2,732500,16500,96.684
E,2,3,2003,31.47996,-101.62649,8276,40,40,7,1,1,289330,220500,26.95602748
A,10,2,2011,31.8371,-102.15379,10980,40,160,1,1,1,821000,1312584,83.38
B,2,4,2012,31.54912,-102.01186,10819,40,160,6,8,8,837125,940500,88.172
A,10,2,2008,31.81662,-102.16098,10480,40,160,6,1,1,598889,980043,51.64466495
B,27,4,2011,31.50216,-102.04134,10725,20,160,7,4,8,1492176,1593347,53.336
C,13,2,2008,31.86388,-101.95663,11022,40,Sub 20,7,1,2,775280,1487724,51.82
E,2,3,2005,31.4541,-101.65391,8180,40,40,7,2,2,100450,383200,26.688
C,27,4,2004,31.59312,-101.82143,8881,160,20,5,3,6,473590,206350,28.074
A,2,2,2006,31.69759,-102.1976,10500,40,40,7,5,10,432298,354603,33.84
E,27,3,2003,31.46657,-101.73258,9315,80,20,7,5,10,508120,348454,23.639
F,4,1,2011,31.72597,-101.44786,9990,40,Over 160,1,7,15,552400,20580,29.636
A,9,2,2006,31.81951,-102.01878,10455,80,80,7,5,5,405930,472542,49.91380818
A,13,2,2004,31.77534,-102.20545,10750,80,Over 160,7,1,1,200690,300510,60.292
B,13,2,2003,31.6922,-102.0627,10525,40,80,7,4,8,143500,290455,69.4284143
C,27,2,2006,31.84675,-101.90111,10017,40,40,7,6,12,400400,445234,40.77282225
C,27,2,2009,31.92418,-101.89152,9670,80,80,7,6,12,567060,531478,79.56669217
D,27,1,2010,31.86384,-101.72647,10752,40,80,7,8,16,1152937,1095929,37.35049321
B,17,4,2010,31.54825,-102.07773,10885,160,80,6,10,20,1030282,636238,68.288
B,13,2,2005,31.6863,-102.0874,10500,80,40,7,4,8,155654,330415,33.832
A,13,2,2005,31.76821,-101.99774,10530,80,160,7,6,12,421620,474264,55.664
F,27,3,2007,31.6252,-101.58825,8176,80,40,7,3,6,471620,185877,22.34
C,13,2,2003,31.87185,-101.95495,10800,40,Sub 20,7,1,1,413830,270816,63.68472659
B,10,4,2011,31.64743,-102.15038,10750,Over 160,Sub 20,1,1,1,349500,763518,26.364
D,2,1,2006,31.75812,-101.75965,9843,80,40,7,6,12,523700,440534,30.20941884
F,14,1,2011,31.72394,-101.53538,10919,Over 160,Over 160,6,7,14,789000,581000,29.108
E,2,3,2005,31.53754,-101.65328,8339,40,40,7,2,2,100450,383200,40.668
E,2,3,2005,31.50115,-101.64613,8326,40,40,7,2,2,100450,383200,33.756
D,14,1,2010,31.75784,-101.60308,10901,80,Over 160,4,10,20,952000,973000,41.77
F,18,3,2010,31.59266,-101.4286,8527,40,80,7,7,7,NA,NA,23.716
D,19,1,2012,31.79513,-101.55325,11041,NA,NA,8,1,1,NA,NA,45.796
A,2,2,2008,31.7689,-102.15437,10380,80,40,7,6,12,583403,431283,15.08381372
A,13,2,2003,31.71597,-102.07502,10525,80,160,7,4,8,144000,287662,34.60778643
B,13,2,2004,31.6721,-101.9724,10510,20,80,7,4,8,191500,293927,40.024
B,13,4,2005,31.6513,-101.9777,10515,40,40,7,4,8,187351,293373,27.552
C,27,2,2003,31.75353,-101.83149,8907,80,40,7,4,7,472470,198006,40.9539479
D,14,1,2011,31.75537,-101.59803,10710,80,Over 160,1,7,14,843000,747000,31.096
