Subarea,Operator.Numeric,County.Numeric,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,DeepestZoneNumeric,Frac.Stages,Treatment.Records,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.
E,1,3,2010,31.44664,-101.60315,8121,40,40,7,1,2,656313,184504,20.104
C,27,2,2009,31.91716,-101.88929,9650,40,40,7,6,12,650040,640140,27.901
B,27,2,2003,31.73682,-101.94974,10520,40,40,7,4,8,372173,289274,27.604
C,27,2,2009,31.71281,-101.78596,8880,80,20,7,4,8,550360,227880,28.488
E,27,3,2003,31.59362,-101.76857,8700,Over 160,40,7,3,8,454404,212020,21.976
F,18,3,2012,31.65067,-101.41874,8270,40,Over 160,7,1,1,NA,NA,126.068
B,13,4,2004,31.6432,-102.0466,10515,40,80,7,4,8,150700,284430,68.516
B,3,2,2010,31.69346,-102.05813,10190,40,40,7,5,10,864000,671790,25.18
B,27,4,2010,31.60272,-101.99334,10910,80,40,7,9,18,959540,1041600,75.43824424
E,2,3,2006,31.53354,-101.68756,8351,40,40,7,2,2,123000,365750,49.928
E,2,3,2004,31.44684,-101.6528,8174,40,20,7,2,2,350000,220506,29.15185689
F,18,3,2010,31.60394,-101.45878,8675,80,20,7,8,8,NA,NA,47.356
E,2,3,2009,31.43794,-101.67541,8157,40,40,7,2,2,362375,291500,33.416
D,14,1,2007,31.75205,-101.6277,8750,80,160,7,3,4,610000,540943,20.7
F,27,3,2006,31.61702,-101.59906,8260,Over 160,40,7,3,6,477380,204952,34.4131975
E,2,3,2008,31.50811,-101.68274,8364,40,40,7,2,2,244025,242240,43.67591628
E,27,1,2003,31.65428,-101.6588,8440,80,40,7,3,8,470300,203685,29.45106486
E,27,3,2005,31.57026,-101.63923,8345,160,40,5,3,6,471000,189813,13.952
B,13,4,2007,31.6221,-102.0397,10525,80,Over 160,7,1,1,799762,118272,95.57577585
B,28,4,2008,31.56316,-101.96728,10033,40,40,7,4,4,356750,1051000,26.56
E,2,3,2006,31.50421,-101.64518,8269,20,20,5,2,2,100450,383200,23.48265515
F,18,3,2010,31.61129,-101.43778,8247,40,160,7,7,7,NA,NA,30.632
E,2,3,2005,31.49123,-101.64967,8254,20,20,7,2,2,100450,383200,33.556
D,5,1,2011,31.92965,-101.70684,10913,80,160,3,10,11,866588,650545,153.18
A,2,2,2008,31.82823,-102.09806,10282,Over 160,40,7,6,12,437140,470788,46.732
F,2,1,2006,31.70983,-101.54853,8223,80,40,7,2,2,155650,497600,39.468
A,2,2,2008,31.73623,-102.17925,10207,160,40,7,7,14,561380,595426,34.07126625
F,18,3,2012,31.63757,-101.42883,8340,40,80,7,1,1,NA,NA,35.184
D,27,1,2011,31.86995,-101.71895,10376,40,160,1,4,8,1414833,1469999,37.312
E,2,3,2004,31.51985,-101.63012,8340,40,20,7,2,2,362000,367506,18.52846714
F,4,1,2011,31.72877,-101.43556,9980,NA,NA,NA,1,1,NA,168000,57.912
B,5,2,2012,31.69135,-101.95096,11895,40,Sub 20,1,10,20,936440,839484,23.292
E,2,3,2003,31.54827,-101.63901,8227,40,40,7,1,1,289640,189533,29.19716485
B,13,2,2004,31.6658,-101.9421,10501,40,20,7,4,8,174500,283023,39.632
E,2,3,2007,31.48978,-101.65759,8237,40,20,7,2,2,123000,365484,21.50685053
A,20,2,2004,31.68173,-102.17021,10145,80,40,7,1,2,653345,387576,57.53915632
D,14,1,2011,31.74163,-101.59273,10710,80,Over 160,1,7,14,738000,659000,30.044
B,25,2,2012,31.65193,-101.99097,12205,80,80,1,1,1,1245440,1539006,87.928
C,27,2,2006,31.82868,-101.9136,10022,40,40,7,6,12,603272,496458,40.26411279
E,2,3,2004,31.44537,-101.64218,8154,40,20,7,2,2,350000,220506,17.03591569
E,2,3,2006,31.5507,-101.6618,8365,80,40,7,2,2,123000,353400,38.252
D,6,1,2012,31.84035,-101.71894,10848,NA,NA,1,1,1,1155840,945504,76.148
A,13,2,2003,31.82537,-102.04341,11500,80,80,7,1,1,444980,371028,62.932
E,2,3,2005,31.49934,-101.65454,8314,80,40,7,2,2,100450,383200,26.992
A,13,2,2006,31.76389,-102.17477,11247,40,80,7,1,1,601900,563976,45.81984815
E,2,3,2007,31.53381,-101.66976,8296,40,40,7,2,2,123000,385032,49.16
F,27,1,2006,31.69705,-101.63656,8835,160,40,7,3,3,350761,244692,46.04231632
A,2,2,2009,31.79404,-102.0827,10485,160,40,7,5,10,542416,426334,55.82033012
A,12,2,2003,31.77244,-102.04362,10125,40,80,7,1,2,116500,303000,50.888
C,27,2,2008,31.8109,-101.95727,10259,40,40,7,6,12,480360,545474,49.94
F,14,1,2010,31.71895,-101.50778,9990,80,160,6,1,1,877792,1068228,61.80434803
D,2,1,2012,31.8485,-101.567,10922,80,Over 160,4,8,9,514927,723516,24.28251337
D,13,1,2011,31.95503,-101.75882,10654,80,80,1,1,2,972860,993174,46.584
D,27,1,2011,31.8012,-101.64413,10287,40,40,6,4,8,1412896,1472640,85.224
B,27,4,2011,31.523,-101.95416,10870,20,80,1,3,6,1209728,1013678,47.424
B,27,2,2007,31.65738,-102.00221,10488,80,40,7,6,12,560060,418546,108.724
A,13,2,2004,31.713,-102.0562,10507,40,160,7,4,8,190000,285217,36.10162939
C,27,4,2003,31.56046,-101.84707,8950,80,40,7,3,6,466630,206474,29.576
B,25,4,2012,31.63928,-102.00131,10472,80,Over 160,7,1,1,1456000,1242612,113.412
C,27,2,2011,31.84243,-101.96747,10905,40,80,6,4,8,869716,980743,76.81494263
B,27,4,2011,31.50711,-102.02134,10778,40,160,1,3,6,1354816,1134300,55.86
D,27,1,2007,31.73285,-101.59494,9487,40,80,7,5,10,225120,329397,25.31341516
C,27,2,2010,31.83274,-101.92852,10610,40,40,7,3,6,907957,919964,44.276
A,13,2,2004,31.78249,-102.208,11005,40,Over 160,7,1,1,349430,407484,27.99322887
F,2,3,2006,31.65067,-101.56088,8131,40,40,7,2,2,123000,368046,21.264
B,28,4,2008,31.56399,-101.96371,10027,40,40,7,3,3,27500,410750,41.136
A,5,2,2012,31.75449,-102.05632,11212,40,80,1,12,24,797429,839510,28.19693786
A,2,2,2008,31.78196,-102.163,10400,80,40,7,7,14,587256,361370,47.496
E,2,3,2006,31.40133,-101.70376,8358,40,40,7,2,2,173822,483756,32.832
F,18,3,2011,31.64753,-101.43226,8315,40,160,7,7,7,NA,NA,56.028
C,27,2,2012,31.84936,-101.93807,10719,40,80,6,4,8,1347700,1403199,49.028
E,2,3,2005,31.46733,-101.65792,8253,40,20,7,2,2,100450,383200,33.424
B,25,4,2010,31.62804,-102.01465,10972,80,80,6,1,2,1219456.055,236954,69.34
D,14,1,2011,31.73012,-101.62132,10818,40,80,1,8,16,834000,675500,18.056
F,18,3,2010,31.59325,-101.47599,8780,40,40,7,8,8,NA,NA,45.84
D,27,1,2012,31.97544,-101.73516,10326,NA,NA,NA,4,8,1236550,1276470,53.216
B,27,4,2011,31.50956,-101.9858,10892,40,160,1,3,6,1452371,2213261.734,90.052
D,21,1,2008,31.75941,-101.72288,9500,Over 160,40,7,NA,1,NA,NA,68.40805807
E,2,3,2006,31.41884,-101.70958,9112,160,40,7,2,2,200600,576422,20.248
C,27,2,2006,31.78436,-101.95796,10494,40,160,7,6,12,414608,467623,47.92
F,18,3,2009,31.59971,-101.40775,8121,160,40,7,NA,1,NA,NA,20.812
B,27,4,2012,31.51971,-101.968,10885,20,80,1,3,6,1360760,1267438,66.07164649
A,14,2,2011,31.80574,-102.21909,10675,40,Over 160,7,1,1,656568,1041167.367,57.64
E,2,3,2007,31.45015,-101.62205,8266,20,40,7,2,2,123000,365484,27.792
A,10,2,2010,31.82052,-102.17548,11280,80,80,1,1,2,723000,18480,82.656
E,2,3,2003,31.4544,-101.63619,8225,40,40,7,1,1,290950,212226,31.19237239
F,2,3,2003,31.60975,-101.51736,8450,80,80,7,4,8,498500,271200,65.90859364
A,12,2,2010,31.76512,-102.0453,10174,40,40,7,1,2,508690,561230,35.488
B,13,2,2003,31.7089,-101.9754,10500,80,160,7,4,8,312260,351629,65.232
A,10,2,2010,31.85677,-102.1505,11100,40,160,1,1,2,978251,23016,72.36
A,12,2,2010,31.84877,-102.04194,10164,40,Sub 20,7,1,3,508046,558237,50.06
D,2,1,2007,31.72807,-101.74337,9900,80,40,7,5,10,561280,468007,10.56
D,4,1,2011,31.79269,-101.56571,10039,NA,NA,NA,1,2,79000,2016,80.704
E,2,3,2004,31.50933,-101.62683,8237,80,40,7,2,2,350000,220506,20.668
E,27,3,2004,31.63272,-101.76269,8710,Over 160,40,7,3,6,472660,200174,45.8702266
A,2,2,2009,31.71155,-102.20256,10083,80,40,7,6,12,590620,562701,12.528
B,27,2,2010,31.72803,-101.92556,10565,40,80,7,10,20,1032200,992922,42.016
E,2,3,2003,31.43354,-101.66084,8184,40,40,7,1,1,135000,90365,11.52
A,27,2,2012,31.77932,-102.17599,10548,40,40,7,3,6,1250497,1029771,58.508
E,2,3,2004,31.44229,-101.6726,8260,80,Sub 20,7,2,2,360000,367506,39.86164692
F,18,3,2009,31.5892,-101.44197,8326,80,40,7,7,7,NA,NA,20.272
D,27,1,2012,31.9694,-101.69667,10229,NA,NA,NA,4,7,1344000,1506732,32.396
C,27,2,2006,31.83481,-101.95186,10106,40,80,7,6,12,406880,447203,34.792
B,17,4,2011,31.56276,-102.04776,10960,160,40,7,8,16,639272,753032,51.00215902
C,27,2,2003,31.68504,-101.81851,8840,80,40,7,3,8,471640,213110,34.404
C,27,2,2003,31.8153,-101.78963,8598,Over 160,40,7,3,6,469510,199720,28.99923783
A,27,2,2006,31.8785,-102.02397,10168,40,Sub 20,7,6,12,645488,442545,31.912
E,27,3,2004,31.46258,-101.68286,9118,160,40,7,4,8,507210,349712,34.24012514
C,27,2,2003,31.80377,-101.95493,10500,40,160,7,4,8,507220,291226,25.85262153
A,10,2,2012,31.79508,-102.12732,10908,80,40,1,1,2,789550,1236810,70.092
E,2,3,2006,31.53378,-101.69076,8352,40,40,7,2,2,123000,353400,17.37549798
C,27,2,2012,31.85412,-101.96623,10849,40,80,1,4,8,1437569,1131650,51.136
D,14,1,2012,31.74285,-101.61588,10880,NA,NA,6,6,12,683500,529000,42.18
F,14,1,2011,31.66599,-101.4159,10135,160,Over 160,7,7,14,851500,539500,26.516
B,3,2,2010,31.67656,-102.09761,10240,80,40,7,6,12,698000,1000944,32.612
E,2,3,2003,31.45684,-101.64135,8245,20,40,7,1,1,290050,209197,55.292
A,12,2,2010,31.8297,-102.07229,10130,80,20,7,1,2,477600,530350,28.75787777
C,27,2,2006,31.82249,-101.95667,10126,80,40,7,6,12,400005,3600949,57.444
E,2,3,2005,31.51264,-101.64542,8360,40,40,7,2,2,100450,383200,20.312
B,27,4,2008,31.52535,-101.9307,10010,40,40,7,7,14,837980,457584,26.32
F,13,3,2010,31.5275,-101.46409,10100,40,40,1,1,2,941700,1034880,38.652
A,3,2,2010,31.74012,-102.0202,10475,40,40,7,6,12,880000,735444,24.024
B,13,2,2003,31.7189,-102.0136,10500,160,40,7,3,5,96126,258614,53.48724843
A,12,2,2003,31.77689,-102.04097,10125,80,80,7,2,4,264000,515000,47.144
B,17,4,2008,31.55119,-102.06958,10550,160,80,7,7,7,645000,528864,44.856
E,2,3,2008,31.5198,-101.64771,8271,40,40,7,2,2,258000,220655,21.948
F,2,1,2006,31.65334,-101.53122,8064,40,40,7,2,2,100450,383200,42.264
B,13,2,2007,31.6532,-102.0321,10600,80,80,7,1,1,901480,1191414,77.98311204
F,18,3,2010,31.6005,-101.47589,8745,160,40,7,8,8,NA,NA,44.784
B,2,4,2012,31.54227,-102.01671,10821,20,160,7,7,7,698625,766000,51.712
A,13,2,2003,31.8106,-102.025,10500,80,80,7,3,5,153760,219950,51.75635454
F,18,3,2008,31.57462,-101.43359,8530,160,20,7,NA,8,NA,NA,27.468
D,11,1,2012,31.81542,-101.57769,10531,80,Over 160,3,1,1,892700,861630,21.264
B,28,4,2008,31.55523,-101.96911,10000,40,20,7,3,3,359875,405250,34.05661012
C,27,2,2010,31.83735,-101.95706,10575,40,160,7,7,14,614501,892846,45.956
B,10,4,2011,31.50942,-102.06507,11490,40,160,1,1,1,776000,1255367.367,115.2346599
E,2,3,2005,31.43957,-101.66677,8327,40,40,7,2,2,100450,383200,28.22
F,18,3,2010,31.53432,-101.41733,8434,40,40,7,7,7,NA,NA,53.604
C,2,1,2008,31.71701,-101.75875,9890,NA,NA,7,6,12,474820,417946,9.735
E,27,3,2008,31.61262,-101.69658,8515,80,20,5,4,8,601360,246762,17.184
D,4,1,2010,31.96115,-101.68141,10579,160,Over 160,1,5,13,398000,25116,32.96370677
D,2,1,2011,31.8386,-101.54503,10935,40,80,4,8,8,609263,809200,26.81893188
C,27,2,2003,31.74802,-101.93701,10590,80,40,7,4,8,370431,303571,15.893
A,27,2,2006,31.89491,-102.00225,10185,40,Sub 20,7,6,11,520620,450120,42.824
C,27,2,2003,31.75528,-101.93938,10500,40,160,7,4,8,219633,300678,18.94660235
A,14,2,2011,31.81433,-102.21871,10645,80,Over 160,7,1,1,698959,1080156,73.48365573
A,24,2,2003,31.78472,-102.04792,10525,80,40,7,1,2,390000,283000,45.712
D,14,1,2011,31.75392,-101.6194,10885,80,160,4,1,1,NA,1055334,95.636
D,27,1,2012,31.98156,-101.72766,10743,80,Over 160,3,5,9,1238986,1235601,17.556
D,13,1,2009,31.9457,-101.75215,10560,80,40,1,1,3,1373343.945,1040046,69.756
B,13,2,2003,31.6715,-101.9753,10520,20,40,7,4,8,161048,281890,59.83319228
E,2,3,2007,31.39708,-101.68929,8532,80,20,7,2,2,169100,481530,20.396
C,27,2,2011,31.82675,-101.92212,10590,40,40,6,4,8,1007299,981497,112.904
A,13,2,2005,31.7168,-102.0396,10530,80,80,7,4,8,190200,290780,28.53084338
A,10,2,2010,31.82487,-102.12739,11110,160,40,1,1,2,947000,18984,64.762
D,27,1,2003,31.71259,-101.71632,8635,40,40,7,3,6,471030,188309,55.65707668
E,2,3,2008,31.53082,-101.65117,8276,40,20,7,2,2,271750,220538,12.592
A,5,2,2011,31.75186,-102.0514,11175,40,80,1,10,10,967108,622146,23.3
C,27,2,2006,31.78182,-101.95272,10510,40,160,7,6,12,633024,466247,28.836
C,27,2,2012,31.92027,-101.85936,10445,80,40,7,3,6,1423437,1349935,56.468
A,13,2,2006,31.8149,-101.9723,11529,80,20,7,1,2,543040,477666,58.35472283
E,2,3,2008,31.52097,-101.70988,8415,80,40,7,2,2,258000,220911,16.276
A,13,2,2005,31.81568,-102.03594,10980,80,80,7,1,1,401720,579516,77.38134441
A,13,2,2003,31.8018,-102.0306,10500,80,40,7,4,8,171340,289934,37.596
A,20,2,2010,31.74272,-102.19934,10618,40,160,7,4,8,895000,1028770,162.696
F,13,3,2010,31.53137,-101.47677,10100,160,80,1,1,2,1171520,1088640,98.172
B,27,4,2011,31.51144,-102.02718,10935,40,160,1,3,6,1218727,948342,63.628
C,27,2,2003,31.82287,-101.96955,10590,40,80,7,4,8,370520,287922,19.84023768
E,2,3,2007,31.4844,-101.64598,8153,20,20,7,2,2,123000,365484,18.768
C,27,2,2012,31.91622,-101.8934,10385,40,20,7,3,6,1458884,1252408,48.14
B,13,2,2004,31.6988,-102.0025,10505,40,80,7,4,8,191199,298644,38.192
B,13,2,2005,31.68745,-102.00262,11250,40,40,7,1,1,350670,453978,91.768
E,2,3,2007,31.46071,-101.70873,8524,80,20,7,2,2,344375,457002,19.43242355
B,27,4,2006,31.59182,-102.008,9289,160,40,7,3,6,470580,198104,30.184
F,18,3,2010,31.54559,-101.44258,8585,40,20,7,8,8,NA,NA,90.868
B,27,4,2004,31.53072,-101.91047,9080,160,40,7,3,6,472150,202232,32.264
A,13,2,2007,31.77759,-102.08616,10410,40,160,7,1,1,700324,613662,62.78514382
B,27,2,2008,31.66348,-102.00862,10481,80,40,7,5,10,500445,392187,26.62828616
C,27,2,2003,31.7787,-101.93778,10500,40,80,7,5,10,387340,401474,49.79286603
B,2,4,2012,31.5172,-102.03305,10878,40,40,6,6,6,719500,920354,128.3355706
D,27,1,2009,31.89392,-101.7133,9582,80,160,7,6,12,485020,586154,36.49085403
D,5,1,2012,31.92229,-101.70388,10880,NA,NA,8,9,18,853791,889944,39.168
A,13,2,2007,31.82613,-102.2432,11265,40,Over 160,7,1,1,555860,690144,25.432
F,18,3,2010,31.5524,-101.40423,8432,80,20,7,8,8,NA,NA,21.52
A,9,2,2006,31.82916,-102.02629,10440,40,80,7,4,4,358656,72450,39.04780219
F,18,3,2011,31.61368,-101.44797,8563,80,20,7,7,7,NA,NA,26.76028006
E,2,3,2004,31.46737,-101.66234,8250,40,40,7,1,1,350000,159000,35.576
F,14,1,2011,31.66999,-101.44441,10067,80,Over 160,1,7,14,896000,557000,36.408
D,2,1,2007,31.73249,-101.74037,9792,80,40,7,6,12,523253,426297,13.624
F,18,3,2011,31.57118,-101.45924,8660,80,40,7,7,7,NA,NA,27.02
E,2,3,2003,31.49026,-101.64712,8225,20,40,7,1,1,290230,192696,21.03030391
F,2,3,2006,31.59383,-101.52146,8480,40,160,7,2,2,149700,504800,38.86579378
A,2,2,2007,31.73066,-102.18653,10111,80,40,7,6,12,524440,407788,24.856
A,2,2,2009,31.75534,-102.16317,10388,80,40,7,7,14,655300,506153,29.752
C,27,2,2003,31.72739,-101.86284,9050,160,40,7,3,8,470600,197045,23.092
F,14,1,2011,31.69677,-101.44318,10080,40,Over 160,1,7,14,785500,571500,29.81065115
E,2,3,2005,31.45856,-101.65109,8124,40,40,7,2,2,100450,383200,25.304
A,27,2,2003,31.762,-101.9903,10500,40,80,7,4,8,367600,309393,56.28002967
A,10,2,2011,31.81322,-102.14197,11035,80,40,1,1,2,934001,18480,76.504
E,2,3,2006,31.48518,-101.66149,8313,40,80,7,2,2,123000,365750,40.748
E,2,3,2008,31.52064,-101.65128,8278,20,20,7,2,2,273280,196751,21.152
B,10,4,2011,31.53107,-102.13475,10500,40,160,7,1,1,631100,974891,100.196
D,27,2,2011,31.94907,-101.82352,10452,80,20,6,4,8,1573985,1460609,19.98
B,13,2,2004,31.6878,-101.9675,10497,80,Sub 20,7,4,8,149500,290146,28.392
B,10,4,2010,31.52416,-102.11392,10550,40,Over 160,7,1,1,393500,937190,71.56
F,2,1,2006,31.65592,-101.53639,8103,40,40,7,2,2,123000,353400,30.18
F,18,3,2008,31.56346,-101.41678,8710,80,40,7,7,7,NA,NA,36.12
B,10,4,2012,31.51423,-102.12372,10655,NA,NA,7,1,1,694000,1090992,22.9
F,18,1,2012,31.66163,-101.4309,9895,40,Over 160,NA,1,1,NA,NA,46.25013093
F,14,1,2012,31.6878,-101.44929,10122,40,Over 160,1,7,14,845000,567000,9.5
D,2,1,2011,31.82076,-101.53848,10863,80,160,8,7,7,522438,686750,35.412
F,18,1,2011,31.65687,-101.50167,10144,80,80,1,12,12,NA,NA,88.32861051
F,18,3,2012,31.57472,-101.44217,9910,40,20,6,1,1,NA,NA,37.556
B,27,4,2012,31.51815,-101.98781,10890,40,160,1,2,4,1361638,1195850,55.148
E,27,3,2006,31.59746,-101.6545,8344,80,40,5,3,6,471200,198881,29.364
F,14,1,2011,31.6918,-101.49471,9988,80,Over 160,1,7,14,873500,547000,48.432
B,10,4,2011,31.5814,-102.09789,11305,160,40,1,1,1,651821,1323798,77.244
B,25,4,2010,31.62739191,-102.0014106,11000,80,40,6,1,2,1256640,256952,118.884
C,27,2,2007,31.80533,-101.96479,10413,40,80,7,6,12,486021,552316,42.728
B,2,4,2012,31.54364,-102.01882,10800,NA,NA,7,8,8,756750,876500,49.624
B,10,4,2012,31.59873,-102.15155,11125,80,40,1,1,2,465600,935529,64.4331449
D,27,1,2009,31.97958,-101.652,10017,160,Over 160,7,8,16,744620,992712,55.332
F,2,3,2007,31.59645,-101.52648,8519,40,80,7,2,2,191500,480102,52.24596847
B,5,2,2011,31.69311,-101.92723,11773,Over 160,40,1,11,22,609809,858000,7.608
A,3,2,2010,31.73704,-102.05005,10245,40,80,7,6,12,718000,727010,31.08
C,27,2,2003,31.75071,-101.84015,8970,80,20,7,4,8,472170,195181,28.54388452
A,27,2,2012,31.76732,-102.17618,10509,40,80,7,3,6,1154722,947669,78.02
D,14,1,2011,31.74802,-101.59546,10801,80,Over 160,1,7,14,733000,636000,29.132
F,18,3,2010,31.58594,-101.47182,8775,80,40,7,7,7,NA,NA,27.572
E,27,1,2003,31.67106,-101.68159,8530,80,40,7,2,5,335820,149870,24.156
E,2,3,2009,31.47608,-101.60758,10270,80,40,6,2,2,137000,449500,36.584
F,2,3,2008,31.63161,-101.55869,8234,80,20,7,2,2,258000,220375,8.544
F,2,3,2006,31.61922,-101.56047,8211,40,40,7,2,2,123000,365482,36.77679768
D,27,1,2009,31.76336,-101.62769,10091,160,40,7,6,12,563980,428505,55.758
F,2,3,2006,31.60947,-101.55163,8218,80,40,7,2,2,123000,365500,16.772
F,2,1,2006,31.69948,-101.57606,8283,160,80,7,2,2,100975,374500,10.876
F,27,3,2010,31.56387,-101.4089,8593,80,40,7,7,14,848060,607908,23.88
B,27,4,2011,31.51414,-102.0153,10889,80,80,6,3,6,1133771,875218,55.292
B,10,4,2012,31.50764,-102.11716,11512,40,Over 160,7,1,2,573050,14500,69.256
B,10,4,2012,31.51511,-102.08872,11517,40,Over 160,1,1,1,699004,1181544,176.1857485
C,27,2,2007,31.87597,-101.96966,9986,20,Sub 20,7,5,10,522660,336925,33.036
B,25,4,2012,31.648,-102.0078,12161,40,160,1,1,1,1417920,1803816,23.064
D,27,1,2011,31.97724,-101.69533,10166,80,160,6,4,8,2904943,1622730,19.164
F,28,3,2007,31.50394,-101.51953,8521,160,20,7,1,1,560050,380342,19.604
E,27,3,2005,31.49004,-101.69573,9334,80,20,7,5,10,506667,370560,44.232
C,2,2,2006,31.74599,-101.78104,9973,40,40,7,6,12,523240,437483,27.264
E,2,3,2007,31.46229,-101.64137,8084,20,20,7,2,2,123000,364938,21.004
C,27,2,2004,31.77514,-101.85229,9050,40,40,7,3,6,471910,205303,80.32913438
C,27,2,2003,31.7097,-101.79151,8750,40,20,7,2,4,335540,130206,27.84973229
E,2,3,2005,31.44406,-101.61534,8282,40,40,7,2,2,100450,383200,22.39416894
C,27,2,2004,31.79926,-101.82893,8955,NA,NA,7,3,6,473760,200972,30.336
B,23,2,2011,31.70621,-101.92425,10955,80,80,6,1,2,693800,410700,8.604
A,12,2,2005,31.85368,-102.03837,11478,80,Sub 20,7,1,2,175000,154000,74.9528507
D,2,2,2007,31.93394,-101.78352,8826,80,40,7,1,2,168500,485562,35.52561313
F,2,3,2007,31.59996,-101.52757,8531,40,40,7,2,2,171384,478002,29.488
F,18,3,2009,31.60748,-101.4502,8275,80,40,7,NA,7,NA,NA,16.496
E,2,3,2004,31.51869,-101.66894,8307,40,20,7,2,2,362000,367506,21.0058
C,2,2,2006,31.75463,-101.7927,9865,80,40,7,7,14,561279,533918,21.25904119
E,2,3,2012,31.48826,-101.62017,8025,40,40,7,4,4,465000,459668,21.94
B,13,2,2005,31.70681,-102.04947,10515,40,40,7,4,8,188421,295717,29.68
B,10,4,2012,31.51967,-102.13041,10725,40,Over 160,7,1,1,772500,1170960,53.736
F,27,1,2008,31.69162,-101.60838,8295,80,40,5,4,8,579200,238412,15.55114674
B,3,4,2011,31.6331,-102.05671,10439,160,40,7,7,7,1042520,1067892,54.916
C,27,2,2003,31.72485,-101.84168,8900,160,40,7,3,6,472170,210628,42.128
A,13,2,2003,31.75426,-102.00885,10265,40,40,7,1,1,257320,197232,35.86682289
A,24,2,2004,31.80228,-101.99589,11100,40,40,7,1,2,250000,86000,46.744
E,2,3,2008,31.47627,-101.65664,8186,40,40,7,2,2,16750,278750,14.376
C,27,2,2012,31.79764,-101.79802,11279,80,20,1,5,10,1551766,1489446,120.0347822
A,10,2,2011,31.81163,-102.15056,11094,80,40,1,1,1,851000,1273818,76.292
A,13,2,2006,31.73401,-102.0632,10592,40,80,7,1,1,648106,602154,48.27209734
A,10,2,2011,31.81065,-102.12352,11105,80,20,1,1,2,1125600,22512,195.747454
B,13,2,2004,31.68548,-102.0114,11250,80,40,7,1,1,350290,394800,97.884
D,14,1,2011,31.75591,-101.6113,10715,40,160,1,8,16,846000,646000,36.824
E,27,3,2003,31.6031,-101.74503,8540,40,40,5,3,8,472550,2541052,32.70993787
F,14,1,2011,31.72146,-101.46417,10705,160,Over 160,2,7,15,840000,777700,21.2
E,27,3,2010,31.54401,-101.74443,8587,80,40,7,4,8,512957,237090,38.91903009
F,27,3,2004,31.55403,-101.5968,8150,40,40,5,3,6,472270,200552,40.528
F,27,3,2005,31.62216,-101.58293,8150,80,40,7,3,6,473940,173362,22.956
B,27,4,2011,31.51268,-101.99773,10900,40,160,1,2,4,1116006,870612,57.116
B,2,4,2009,31.54706,-102.02025,10324,40,160,7,3,3,449300,581600,68.756
A,10,2,2011,31.82752,-102.1777,11288,80,80,1,1,1,978500,1523424,71.07859197
B,10,4,2011,31.61858,-102.11414,11033,Over 160,Sub 20,1,1,1,497189,994938,52.316
B,3,2,2010,31.66229167,-102.0929306,10180,80,40,7,6,12,750000,1184988,16.628
A,10,2,2011,31.82989,-102.1831,11470,80,160,1,1,1,751000,1247568,59.28813167
A,13,2,2010,31.71836,-102.08099,10575,80,80,7,1,2,828220,880194,48.46
F,18,3,2010,31.5931,-101.46317,8725,80,40,7,7,7,NA,NA,19.036
E,2,3,2008,31.46572,-101.6532,8156,40,40,7,2,2,16750,278750,15.656
D,34,1,2012,31.92888,-101.7731,10655,160,40,6,1,1,1818880,295008,107.336
A,27,2,2006,31.8939,-102.00664,10184,40,Sub 20,7,7,14,675047,532444,37.38
A,13,2,2006,31.77,-102.088,10435,40,160,7,1,1,746360,555702,39.92
A,12,2,2008,31.77672,-102.05858,10291,80,40,7,1,2,431000,463150,42.052
B,13,2,2007,31.6619,-101.99707,10632,40,40,7,1,1,747800,602322,55.72469755
B,13,2,2004,31.6752,-102.0392,10525,160,80,7,4,8,169528,280233,41.116
D,11,1,2012,31.80385,-101.58227,10669,40,Over 160,4,1,1,944021,1074780,218.792
C,27,2,2006,31.78638,-101.94933,10492,40,160,7,6,11,401360,466922,50.748
A,2,2,2008,31.72568,-102.1758,10104,80,40,7,6,12,602400,548832,40.388
