Subarea,Operator.Numeric,County.Numeric,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,DeepestZoneNumeric,Frac.Stages,Treatment.Records,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.
A,24,2,2004,31.79786,-101.99885,11000,80,80,7,1,2,312000,14000,25.503
E,27,3,2008,31.44017,-101.60093,8615,80,40,7,7,14,853450,706162,22.696
A,2,2,2009,31.7112,-102.18869,10090,160,40,7,6,12,404360,432764,11.38
E,30,3,2010,31.55983,-101.66473,8298,160,40,7,3,3,390000,298410,31.20847532
D,5,2,2012,31.95364,-101.78102,11503,40,40,4,9,18,996200,902106,57.16
A,13,2,2003,31.7346,-102.0277,10500,160,80,7,4,7,247891,272650,38.20476317
B,13,2,2006,31.69801,-102.006,11258,40,40,7,1,1,639520,581616,36.552
B,27,2,2008,31.67222,-102.02027,10500,160,40,7,7,14,688562,721611,42.5222477
B,10,4,2006,31.4915,-102.07673,10674,40,80,7,1,2,763000,922900,90.536
D,27,1,2008,31.76303,-101.59157,10430,80,Over 160,7,6,12,695140,635437,27.776
A,10,2,2012,31.81556,-102.11977,11207,80,40,1,1,1,929580,1363320,66.948
F,14,1,2012,31.72459,-101.48299,10034,NA,NA,NA,7,14,838500,561500,24.288
C,27,2,2004,31.93173,-101.8308,9365,80,20,7,4,7,437481,341722,60.648
A,13,2,2003,31.8296,-101.9903,10520,160,80,7,4,8,168000,288672,29.28650586
F,2,3,2007,31.58887,-101.4929,8536,40,80,7,2,2,352554,387060,32.204
F,14,1,2011,31.71955,-101.47231,10080,160,Over 160,1,7,14,885000,757000,24.084
F,18,3,2012,31.64264,-101.47006,8331,Over 160,20,7,1,1,NA,NA,32.19555527
B,2,4,2011,31.52599,-102.04404,10931,40,40,6,8,8,1609663,754313,76.244
C,27,2,2006,31.83892,-101.96636,10336,40,80,7,6,11,399440,463018,52.692
B,13,2,2004,31.6916,-101.9886,10515,160,80,7,4,8,163000,268005,158.02
A,13,2,2005,31.74965,-101.99676,11102,80,80,7,1,1,397760,447678,52.128
B,27,2,2006,31.66763,-101.98048,10392,NA,NA,7,4,8,595424,388265,38.603443
A,10,2,2011,31.80471,-102.11693,11208,80,40,1,1,1,858500,1401666,62.216
E,2,3,2006,31.53936,-101.66273,8342,80,40,7,2,2,123000,365806,32.076
E,2,3,2005,31.52303,-101.66633,8310,40,40,7,2,2,100450,383200,37.72
B,10,4,2010,31.51153,-102.0879,10595,40,Over 160,7,1,1,644037,1067052,46.432
D,27,1,2012,31.97211,-101.68047,10076,40,Over 160,NA,4,8,1249577,1360277,21.284
C,27,2,2003,31.78129,-101.93888,10500,40,80,7,6,14,535133,400910,48.24429574
C,2,2,2008,31.75036,-101.77816,9905,40,40,7,7,14,626140,610283,7.68
E,2,3,2003,31.4242,-101.63561,8246,40,20,7,1,1,289000,166295,39.0632123
E,2,3,2004,31.46022,-101.6608,8284,80,40,7,2,2,360000,367506,32.42348826
B,25,4,2011,31.64124,-101.92573,11093,80,40,1,1,1,1515583.945,1074822,43.216
B,13,2,2005,31.6979,-102.0868,10510,40,80,7,3,6,145509,198460,48.332
B,25,4,2010,31.63887,-101.92025,11015,80,40,1,1,1,602440,725466,44.95842123
D,27,1,2008,31.76686,-101.61135,10568,40,80,7,7,14,672071,767718,19.24918288
B,27,4,2012,31.50194,-102.02499,10870,40,80,1,3,6,1356070,1225744,46.096
F,2,3,2006,31.57637,-101.49816,8500,80,80,7,2,2,151023,492870,26.39411735
E,2,3,2005,31.528,-101.68779,8451,20,20,7,2,2,100450,383200,36.764
E,2,3,2003,31.45166,-101.68412,8200,160,40,7,1,1,290310,153212,22.30126664
A,12,2,2006,31.84966,-102.06792,10125,40,160,7,1,1,319000,655250,73.06722001
A,10,2,2008,31.68939,-102.19964,10350,40,80,7,1,2,750000,827800,70.14
B,2,4,2012,31.53745,-102.01252,10820,NA,NA,7,8,8,785730,877500,90.088
D,13,1,2005,31.77613,-101.59246,10255,80,80,7,1,1,521740,398454,39.1412402
F,27,3,2004,31.59831,-101.58431,8116,160,40,7,3,6,470270,212988,44.236
B,27,4,2011,31.5069,-101.9956,10884,80,80,1,3,6,1187003,956326,65.652
E,27,3,2008,31.6148,-101.7334,8672,20,20,5,4,8,607030,245005,30.672
C,2,1,2008,31.71336,-101.77513,9886,80,40,7,7,14,621902,589219,16.768
F,18,1,2012,31.67496,-101.45422,9965,80,Over 160,6,1,1,NA,NA,26.6
C,27,2,2009,31.76145,-101.90322,9188,160,40,5,4,8,550040,221636,14.988
E,2,3,2006,31.49628,-101.67239,8317,40,80,7,2,2,127548,366270,27.8
A,3,2,2010,31.71104,-102.09558,10200,40,40,7,6,12,710000,684468,39.1
D,5,1,2012,31.92375,-101.73075,11015,NA,NA,8,10,20,1089724,871380,67.44403123
D,6,1,2011,31.81407,-101.65145,10827,160,40,8,1,1,999200,969192,35.588
A,13,2,2004,31.75465,-101.99714,11100,40,80,7,1,1,370580,461832,27.19189199
D,27,1,2011,31.97423,-101.59722,9903,Over 160,Over 160,6,2,4,1484532,1524504,4.196
E,2,3,2007,31.52841,-101.67709,8298,40,20,7,2,2,160527,240240,38.724
C,27,2,2010,31.85077,-101.93441,10580,40,20,7,7,14,768442,933312,72.46
B,10,4,2011,31.57578,-102.11831,11205,Over 160,40,1,1,1,765300,1231188,56.956
F,18,3,2010,31.61716,-101.44153,8318,80,160,7,7,7,NA,NA,23.408
B,10,4,2008,31.49899,-102.09245,10505,40,Over 160,7,1,2,660000,816000,83.504
B,28,4,2008,31.55165,-101.96831,10011,40,40,7,3,3,365875,406000,19.3364338
B,13,2,2004,31.6859,-101.9759,10528,80,80,7,4,8,191000,297292,24.8743132
F,27,3,2006,31.46265,-101.55054,8160,160,40,7,3,4,257733,231649,43.676
A,2,2,2007,31.6848,-102.17563,10104,40,20,7,5,10,559262,487560,38.48073554
B,17,4,2012,31.54215,-102.10265,11364,40,80,1,13,15,1303430,1381180,41.028
E,2,3,2005,31.42331,-101.63997,8235,40,40,7,2,2,100450,383200,23.784
E,2,3,2005,31.51718,-101.6425,8322,20,40,7,2,2,100450,383200,24.644
F,27,1,2007,31.72677,-101.58867,9510,160,40,7,4,8,234101,256538,12.64935437
F,18,3,2010,31.57799,-101.41232,8495,80,40,7,8,8,NA,NA,33.96
E,2,3,2008,31.46833,-101.65087,8179,40,20,7,2,2,16750,278750,13.43492656
A,12,2,2007,31.82424,-102.06513,10117,40,80,7,1,2,292800,522000,42.448
A,13,2,2005,31.8207,-101.9963,10550,80,80,7,6,12,495000,538146,43.372
A,5,2,2011,31.71924,-102.09364,11125,40,80,1,12,12,450707,721350,21.736
F,27,3,2006,31.59098,-101.617,8215,80,40,5,3,4,471560,195243,28.104
C,27,2,2003,31.95258,-101.83381,9415,80,40,7,4,9,489980,273917,58.376
A,12,2,2007,31.83192,-102.08158,10143,160,80,7,1,2,316750,547500,46.41027426
B,10,4,2011,31.5247,-102.09625,10715,40,160,7,1,1,813500,1219722,70.732
B,13,2,2011,31.70723,-102.03156,10725,80,80,7,1,2,718040,1041684,51.612
C,27,2,2007,31.79486,-101.92934,10474,80,40,7,6,12,405740,463499,36.072
C,2,1,2007,31.72145,-101.75576,9844,NA,NA,7,4,8,207880,279747,18.328
B,27,4,2007,31.49181,-102.00748,10354,80,80,7,6,12,340492,356781,58.74358986
F,18,3,2011,31.6155,-101.43209,8362,40,160,7,1,1,NA,NA,56.828
B,3,2,2008,31.68374,-102.05087,10265,NA,NA,7,5,10,849000,10000,28.04
A,13,2,2004,31.77534,-102.14324,11000,40,40,7,1,1,352040,326352,31.02059944
F,4,1,2008,31.70944,-101.48711,10200,160,Over 160,1,5,10,318295,486155,28.724
C,27,2,2010,31.84488,-101.95944,10652,40,80,7,6,12,661222,921264,78.22
D,27,1,2008,31.97212,-101.68489,9983,40,Over 160,7,7,14,552180,571036,21.94799122
E,27,3,2006,31.59039,-101.65261,8295,40,40,5,3,6,475020,195510,32.812
E,2,3,2008,31.52648,-101.64981,8296,40,40,7,2,2,293100,242240,33.484
A,13,2,2004,31.7354,-101.9914,10515,40,80,7,4,8,173000,284131,31.67528813
D,5,1,2012,31.93689,-101.70848,10815,NA,NA,8,8,16,970699,850532,28.48
B,13,2,2005,31.7139,-101.9865,10505,40,80,7,4,8,190497,300937,26.3487155
A,24,2,2006,31.76849,-101.97813,11026,40,20,1,1,2,550300,572900,35.284
C,13,2,2004,31.84944,-101.95491,10750,80,40,7,1,1,291940,342300,43.884
A,13,2,2007,31.792,-102.18387,11005,80,80,1,1,2,602860,604380,71.452
E,27,3,2006,31.54091,-101.73812,8525,80,40,5,3,6,471210,195691,31.108
A,13,2,2004,31.8175,-101.9773,10529,80,20,7,4,8,175000,288534,23.763
E,2,3,2003,31.42677,-101.64079,8295,40,20,7,1,1,290310,153212,40.66573967
D,2,1,2012,31.82001,-101.54341,10900,NA,NA,NA,7,8,520188,695000,34.8
E,27,3,2006,31.5513,-101.75897,8660,40,40,5,3,6,468840,195952,71.34268838
E,2,3,2006,31.40963,-101.6672,8112,40,80,7,2,2,123000,365484,27.86321554
A,13,2,2003,31.8118,-102.0022,10530,160,80,7,4,8,171000,288705,35.94017441
B,3,2,2012,31.66521,-102.08433,11462,40,40,1,1,1,120000,124000,5.604
D,2,1,2008,31.71945,-101.73191,9878,80,40,7,6,12,522900,398382,8.808
B,27,4,2010,31.50123,-102.04515,10745,40,160,7,10,20,2331540,1290688,94.936
A,12,2,2005,31.77903,-102.03206,10127,80,160,7,1,2,307000,512250,32.93505397
F,18,3,2010,31.6035,-101.42044,8528,80,20,7,8,8,NA,NA,30.508
F,2,1,2006,31.70647,-101.5785,8243,160,40,7,2,2,100450,383200,12.48
E,27,3,2003,31.57456,-101.7398,8630,80,20,5,3,8,471640,206138,25.01447869
B,10,4,2011,31.53547,-102.10022,11394,40,80,1,1,1,967500,1560426,48.74
B,10,4,2012,31.51553,-102.11975,11460,40,Over 160,1,1,1,879500,1429386,18.56
F,18,3,2008,31.57442,-101.41661,8725,80,20,7,NA,7,NA,NA,16.4500793
E,2,3,2008,31.51698,-101.67336,8264,40,20,7,2,2,265075,209000,29.356
A,32,2,2011,31.75062,-102.13583,10609,80,80,7,1,2,859990,1100652,124.768
D,27,1,2011,31.97697,-101.66415,9975,40,Over 160,6,4,8,1483342,1212862,41.86032034
C,27,2,2012,31.87772,-101.97023,10771,20,Sub 20,6,4,8,1415768,1234173,64.344
D,5,1,2012,31.94586,-101.72011,10956,NA,NA,4,10,20,1222148,1091074,45.732
D,27,1,2010,31.96948,-101.71061,10095,160,160,7,8,16,696467,891294,25.224
A,13,2,2005,31.81789,-102.07704,10937,80,80,7,1,1,350840,430542,48.18907111
C,2,1,2008,31.72585,-101.75281,9886,80,40,7,6,12,474363,383661,8.086191594
A,12,2,2009,31.83664,-102.07725,10150,80,80,7,1,3,456500,505900,57.436
E,27,3,2003,31.64919,-101.66118,8440,80,40,7,3,7,471640,218452,21.748
F,18,3,2011,31.58177,-101.425,8530,80,20,7,7,7,NA,NA,27.724
F,18,3,2011,31.59987,-101.42475,8560,40,40,7,8,8,NA,NA,27.532
C,2,1,2008,31.76379,-101.76925,9880,40,40,7,6,12,539400,501369,24.40562809
E,2,3,2012,31.49176,-101.62127,8055,40,80,5,4,4,473000,547000,21.56
F,18,3,2010,31.54529,-101.41709,8478,40,160,7,8,8,NA,NA,29.072
E,2,3,2005,31.50392,-101.65398,8320,20,20,7,2,2,100450,383200,24.496
F,18,3,2010,31.59678,-101.4677,8737,80,20,7,8,8,NA,NA,23.696
D,27,1,2011,31.93995,-101.74466,10330,40,40,6,4,8,1333245,1346749,64.232
B,27,4,2008,31.51474,-101.91452,8454,40,80,5,3,6,416707,154134,15.496
E,2,3,2003,31.48299,-101.64487,8225,20,40,7,1,1,290030,186984,34.33198681
F,18,3,2011,31.62704,-101.43458,8314,40,40,7,7,7,NA,NA,35.9
B,5,2,2011,31.71082,-101.95281,11732,160,40,1,13,13,1000630,735066,0.7
F,27,3,2005,31.57201,-101.56736,8065,Over 160,40,7,3,6,477347,168803,21.156
E,2,3,2004,31.4549,-101.64987,8140,40,40,7,2,2,360000,367506,29.992
A,33,2,2009,31.7434,-102.2128,10500,160,Over 160,6,7,14,NA,2224656,60.824
C,27,2,2008,31.7889,-101.95037,10548,20,160,7,6,12,430179,386500,66.664
C,27,2,2004,31.76988,-101.85904,9095,160,40,7,3,6,471380,203190,52.85194007
E,27,3,2006,31.56495,-101.71478,8456,160,40,5,3,6,427570,190727,41.936
E,27,3,2005,31.48515,-101.69561,9315,80,40,7,5,10,508200,354812,35.592
F,18,1,2011,31.66448,-101.45051,10346,80,160,4,12,12,NA,NA,257.668
E,27,3,2004,31.59139,-101.64819,8345,40,40,7,3,6,475894,201224,32.59924597
C,27,2,2006,31.81577,-101.96765,10515,NA,NA,7,4,9,544020,457406,23.084
E,27,3,2010,31.52574,-101.75539,8630,40,40,7,4,8,502400,235662,26.236
E,2,3,2004,31.51953,-101.66523,8306,40,40,7,2,2,350000,220506,17.94
E,27,3,2006,31.56692,-101.70665,8425,160,40,5,3,6,472300,198067,41.952
C,3,2,2004,31.91882,-101.81391,8905,80,40,7,2,4,200270,175750,9.608
A,12,2,2005,31.77459,-102.03484,10125,80,80,7,2,4,334000,530000,49.55407614
B,27,4,2010,31.50972,-102.03472,10735,40,160,7,9,18,976122,1198084,97.788
A,13,2,2003,31.7036,-102.1107,10515,160,40,6,5,9,301870,356635,26.8747488
B,17,4,2011,31.5541,-102.13359,10770,160,80,7,8,16,758258,550012,80.232
A,13,2,2004,31.7482,-101.9683,10520,40,40,7,4,8,173500,280240,56.79350791
F,14,1,2011,31.65419,-101.4212,10093,40,Over 160,7,6,12,762000,502500,32.736
F,13,1,2010,31.67693,-101.59032,10230,80,80,6,1,2,1145088.027,1131564,28.372
A,27,2,2008,31.79245,-102.19753,10554,40,160,7,9,18,763170,682611,61.028
A,2,2,2008,31.77739,-102.16622,10378,80,40,7,8,16,653420,515056,31.68
F,18,3,2010,31.50567,-101.45596,8547,40,40,7,8,8,NA,NA,39.416
C,27,4,2003,31.60823,-101.80401,8805,Over 160,40,7,3,6,473330,180000,28.968
F,18,3,2012,31.62685,-101.44729,8295,80,160,7,1,1,NA,NA,40.632
E,27,2,2004,31.66337,-101.77644,8780,Over 160,40,7,3,6,473110,203282,40.98067921
A,27,2,2006,31.88585,-102.00849,10164,40,Sub 20,7,5,10,678677,345789,55.956
F,18,3,2010,31.58575,-101.45479,8670,160,40,7,8,8,NA,NA,30.188
B,10,4,2006,31.4935,-102.06845,10655,40,80,7,1,2,763000,926900,63.79352249
F,18,3,2011,31.61428,-101.40351,8144,40,40,7,NA,1,NA,NA,14.912
E,2,3,2003,31.47291,-101.63801,8235,40,40,7,1,1,290390,181546,44.50083322
E,27,3,2005,31.54317,-101.62832,8215,80,40,5,3,6,471560,163048,34.848
A,10,2,2012,31.81496,-102.18312,11475,40,Over 160,1,1,1,801000,1278690,70.35833286
F,14,1,2011,31.72073,-101.53835,10464,80,160,6,7,14,795000,542000,12.116
B,10,4,2012,31.53212,-102.13045,10635,40,Over 160,7,1,1,618812,1029504,26.44
A,27,2,2007,31.77798,-102.17963,10692,NA,NA,7,4,8,140871,376388,38.15611142
B,10,4,2011,31.57593,-102.07363,10685,160,80,7,1,1,708500,1101114,80.024
B,16,4,2011,31.53937,-102.12832,10725,40,160,7,1,1,909874,1143828,113.072
F,18,3,2010,31.57501,-101.46766,8700,40,20,7,7,7,NA,NA,24.244
B,10,4,2011,31.5197,-102.11672,10610,40,Over 160,7,1,1,699035,1075620,163.956
E,2,3,2009,31.45584,-101.66299,8153,40,40,7,2,2,268625,292000,40.768
F,27,3,2003,31.55151,-101.59197,8120,40,40,7,3,8,472560,197595,28.91222461
A,9,2,2006,31.82658,-102.02105,10450,80,80,7,4,7,426034,253336,42.972
A,13,2,2007,31.7509,-102.0242,10680,80,80,7,1,1,500200,511350,40.396
C,27,2,2012,31.83024,-101.92327,10730,40,20,1,4,8,1192763,1291432,98.776
B,2,4,2011,31.52597,-102.06218,10907,80,40,6,9,9,884126,959500,31.468
A,13,2,2004,31.82285,-102.03787,11000,80,80,7,1,1,346550,428064,45.37418401
C,13,2,2007,31.84788,-101.96065,10910,40,20,6,1,1,654960,595686,52.67011824
C,27,2,2012,31.9465,-101.8381,10577,40,20,1,4,4,1563055,1231488,204.808
A,13,2,2006,31.8173,-102.02647,10817,80,160,6,1,1,589080,510972,21.7819457
B,13,4,2006,31.49626,-102.10366,12554,40,Over 160,7,1,1,351380,324534,34.5821022
C,27,2,2007,31.86507,-101.90324,9075,160,20,7,3,6,480600,180716,18.192
B,22,4,2012,31.55543,-102.00094,11147,160,40,1,1,2,807151,762426,46.248
C,27,2,2012,31.84708,-101.91557,10683,40,20,1,4,8,1389239,1355128,131.648
D,5,1,2011,31.97478,-101.73801,11050,NA,NA,4,12,12,1061120,889938,19.624
F,14,1,2012,31.68765,-101.41755,10015,NA,NA,NA,7,14,910000,602000,38.58
E,27,3,2004,31.44973,-101.72305,9300,160,40,7,5,10,524210,384756,34.904
F,18,3,2010,31.51968,-101.40904,8462,40,40,7,NA,1,NA,NA,71.048
F,27,3,2008,31.58751,-101.59855,8201,40,40,5,4,8,578829,213161,27.38
C,13,2,2007,31.85618,-101.94104,10941,40,20,1,1,1,749860,586278,30.68
E,27,3,2005,31.57271,-101.74805,8662,80,20,7,3,6,475750,224198,57.10141561
F,14,1,2011,31.68399,-101.41708,10036,40,Over 160,1,6,12,737500,474000,57.56
D,2,1,2011,31.75303,-101.63589,11000,160,80,4,7,7,1084729,1201204,82.72679578
F,18,3,2010,31.58236,-101.47612,8780,80,40,7,7,7,NA,NA,34.624
B,16,4,2011,31.54288,-102.11507,10674,40,160,7,1,1,838380,1165080,97.424
B,13,4,2011,31.50716,-102.10833,12684,80,Over 160,4,1,2,800620,1188264,53.87031232
B,27,4,2010,31.63806,-102.03608,10950,40,80,6,5,5,1560743,1900062,96.344
E,2,3,2003,31.47761,-101.63429,8225,40,40,7,1,1,289940,222222,26.20745867
C,27,2,2007,31.84285,-101.94974,10085,40,160,7,6,12,404260,424754,58.592
D,27,1,2010,31.98761,-101.681,10100,160,Over 160,7,7,14,1018714,1371338,63.824
E,2,3,2003,31.47219,-101.62448,8243,40,40,7,1,1,291310,197292,43.108
D,31,1,2011,31.93507,-101.70192,10350,80,Over 160,1,2,4,689000,1428800,97.304
F,13,3,2012,31.51177,-101.48887,9935,80,80,6,1,2,568000,970326,37.424
F,4,1,2011,31.73672,-101.43366,9980,80,Over 160,1,8,16,650000,22000,9.968
C,27,2,2011,31.82771,-101.91802,10617,40,20,6,4,8,1460529,1446150,202.956
A,13,2,2007,31.73338,-102.04957,10650,40,80,7,1,1,749500,648102,47.03003331
A,13,2,2007,31.7674,-102.0829,10400,80,160,7,1,1,869407,734454,57.34912221
B,5,4,2008,31.59411,-102.06164,10628,40,40,7,1,2,1303680,1054872,61.572
F,18,3,2010,31.57128,-101.46771,8680,40,40,7,8,8,NA,NA,43.016
C,27,2,2011,31.91757,-101.83021,10642,80,20,6,2,4,1285393,1171426,68.996
B,13,2,2005,31.69,-102.00783,11265,40,40,7,1,1,500460,502194,68.128
F,2,3,2006,31.60813,-101.57414,8267,40,40,5,2,2,123000,375250,23.70705727
F,18,3,2012,31.63296,-101.43209,9870,40,160,6,1,1,NA,NA,24.508
E,2,3,2003,31.46918,-101.63631,8250,40,20,7,1,1,290080,138440,17.685
E,27,3,2004,31.57651,-101.71405,8545,20,40,7,3,6,470640,208204,40.932
B,25,4,2012,31.64976,-101.99861,12200,80,160,1,1,1,1426880,1394904,89.228
A,27,2,2007,31.79894,-102.18641,10532,NA,NA,7,5,10,520740,775052,33.424
F,18,3,2010,31.53438,-101.42153,8468,40,160,7,8,8,NA,NA,76.612
F,27,3,2005,31.60283,-101.62998,8290,80,40,7,3,6,470520,200492,16.38451018
F,18,3,2011,31.53081,-101.42584,8465,40,80,7,8,8,NA,NA,66.024
D,4,1,2011,31.8576,-101.57674,10295,80,80,1,8,16,510500,24360,15.792
B,27,4,2011,31.51797,-101.98443,10896,40,160,7,3,6,1375281,1423902.816,69.892
F,13,3,2012,31.53383,-101.47735,10054,Sub 20,40,1,1,2,503744,771498,7.836
F,18,3,2009,31.57834,-101.44212,8195,40,40,7,6,6,NA,NA,21.412
E,2,3,2004,31.50822,-101.6484,8312,20,40,7,2,2,350000,220506,29.62307158
A,12,2,2005,31.84666,-102.06198,11485,80,80,7,2,4,264000,441000,83.324
F,18,3,2010,31.54902,-101.4255,8515,40,80,7,8,8,NA,NA,21.844
E,2,3,2005,31.49751,-101.62751,8287,80,40,7,2,2,100450,383200,13.56
F,13,3,2010,31.55127,-101.52655,8480,160,40,7,1,2,846560,588630,30.31861183
F,13,1,2004,31.7163,-101.52017,10550,160,20,7,1,1,384990,317478,38.49591628
B,10,4,2012,31.53526,-102.1176,11410,40,Over 160,1,1,1,837500,1442490,92.204
F,27,1,2008,31.68924,-101.62125,8362,160,40,5,4,8,606324,217068,32.076
B,10,2,2010,31.66946,-102.13948,10538,160,40,1,1,2,473900,12012,64.6
E,2,3,2005,31.52373,-101.67991,8359,40,40,7,2,2,100450,383200,49.3320329
D,5,1,2011,31.93998,-101.74156,11400,40,80,8,11,11,685031,656040,44.108
F,27,3,2006,31.46883,-101.55689,8116,Over 160,40,7,4,5,465061,272814,10.38
A,12,2,2003,31.76902,-102.07469,10115,80,80,7,2,4,243000,474550,38.332
E,27,3,2005,31.53151,-101.62938,8282,40,40,7,2,4,327480,125510,35.212
A,24,2,2007,31.77678,-101.99141,10993,80,80,1,1,2,560000,845000,41.71620714
B,17,4,2008,31.55337,-102.08819,11000,160,80,1,1,1,NA,NA,67.91190947
D,13,1,2007,31.96851,-101.76248,10660,80,80,7,1,1,902460,15848,49.36
E,2,3,2007,31.43126,-101.64122,8066,40,40,7,2,2,123000,364938,31.684
F,14,1,2011,31.71565,-101.48907,10086,80,Over 160,1,7,14,827000,601000,25.35257157
A,27,2,2012,31.76925,-101.95716,10924,80,40,1,4,8,1408928,1396392,51.928
C,27,2,2007,31.75643,-101.94885,10450,40,80,7,6,12,400930,413313,36.708
D,21,2,2011,31.91252,-101.77672,10330,40,40,6,1,2,737270,1422888,36.408
F,2,3,2006,31.63558,-101.54302,8149,40,40,7,2,2,123000,365750,18.50933409
F,18,3,2010,31.58197,-101.44207,8605,40,20,7,8,8,NA,NA,15.34
C,27,2,2012,31.85245,-101.97501,10992,40,80,1,5,10,1377555,1463328,88.68
F,13,3,2010,31.52764,-101.46834,10130,40,40,1,1,2,697137,1657950,39.044
A,13,2,2006,31.81528,-102.07181,10897,80,80,7,1,1,498480,513870,59.04
B,13,2,2004,31.6662,-102.0454,10525,160,80,7,4,8,166000,288112,34.972
A,24,2,2004,31.77212,-102.01207,11000,80,40,7,1,2,317000,376000,62.23906507
F,19,1,2010,31.67846,-101.47281,10025,160,20,1,5,10,1266600,1948000,90.188
C,2,1,2007,31.71903,-101.75111,9853,80,40,7,5,6,506200,3000,13.684
F,27,3,2003,31.59617,-101.59249,8180,160,20,7,3,6,470460,195096,39.388
B,10,4,2011,31.52273,-102.10431,10605,40,Over 160,7,1,1,733702,1177806,54.86
A,24,2,2003,31.80578,-101.99703,11300,40,20,7,1,2,461000,202000,36.564
B,10,2,2010,31.6554,-102.13486,10750,160,40,1,1,1,471540,12012,45.344
D,5,2,2010,31.9502,-101.78044,10555,40,40,6,1,2,3528616,780182,57.41172984
E,2,3,2003,31.47097,-101.64569,8225,40,40,7,1,1,292190,185517,27.41962381
E,2,3,2006,31.53877,-101.64531,8339,20,40,7,2,2,123000,365750,31.58
D,27,1,2011,31.88806,-101.67531,10184,Over 160,Over 160,1,4,8,1398631,1280860,38.444
E,27,3,2005,31.46773,-101.71091,9270,40,20,7,6,12,530458,429998,36.86935873
F,2,3,2003,31.64331,-101.55852,8300,80,40,7,4,8,504000,286770,36.91160307
F,18,3,2010,31.57432,-101.40813,8500,40,80,7,8,8,NA,NA,31.888
B,3,2,2011,31.67881,-102.10276,11375,80,40,1,1,1,107600,1351602,5.083
B,27,4,2010,31.52225,-101.9687,10872,20,80,1,4,8,1223170,1253850,89.88
F,4,1,2012,31.66753,-101.49968,10256,80,Over 160,1,1,1,NA,NA,25.952
C,27,2,2006,31.79103,-101.94552,10508,40,80,7,6,12,408780,530520,71.968
D,13,1,2007,31.95298,-101.75386,10510,80,80,1,4,4,799108,546126,44.02376458
E,2,3,2004,31.53486,-101.64796,8329,40,40,7,2,2,360000,367506,39.92984664
E,2,3,2008,31.47801,-101.66555,8212,40,40,5,2,2,271750,208000,47.16539174
F,2,3,2007,31.62445,-101.53523,8504,40,160,7,2,2,205522,270791,28.836
B,27,4,2012,31.51393,-101.97155,10888,40,40,1,2,4,1512590,1433526,68.30228208
A,13,2,2003,31.75031,-102.00977,10300,40,80,7,1,1,341850,340998,35.397
B,10,4,2007,31.50859,-102.09996,10680,40,Over 160,NA,1,2,741000,896390,72.612
C,27,2,2011,31.79941,-101.95801,10709,40,160,7,3,6,1127263,969365,52.44
F,27,3,2004,31.5498,-101.58232,8188,80,40,5,3,6,471820,199292,50.176
A,27,2,2007,31.80201,-102.20502,10503,40,Over 160,7,4,8,369480,584673,29.7
C,27,2,2012,31.83808,-101.95273,10803,40,160,1,4,8,1423712,1389341,56.772
F,4,1,2011,31.71173,-101.44339,9989,80,160,1,8,9,703000,1008,29.444
D,4,1,2012,31.85376,-101.58113,10261,80,160,1,1,2,940000,1192478,19.408
A,27,2,2006,31.87435,-102.05805,10285,40,160,7,6,12,522980,447122,56.73353027
C,27,2,2011,31.83431,-101.93788,10619,80,20,6,4,8,1437820,1274164,94.432
B,28,4,2008,31.5596,-101.96643,9991,40,40,7,3,3,356750,454500,48.028
C,13,2,2003,31.85797,-101.95072,10750,80,20,7,1,1,241000,219786,56.57014461
F,18,3,2010,31.60748,-101.47582,8770,40,Sub 20,7,8,8,NA,NA,32.252
B,3,2,2012,31.65588,-102.04129,11707,40,40,1,1,1,130000,189000,38.888
E,2,3,2012,31.47793,-101.59965,10241,160,20,7,7,7,679250,760000,56.668
D,27,1,2011,31.85591,-101.71452,10406,160,80,6,4,8,1302146,1225372,74.448
