Subarea,Operator,County,Completion.Year,Depth.Total.Driller..ft.,Deepest_Zone,Top_Zone,Frac.Stages,Number,Depth.Top,Fluid.Type,Propping.Agent.Type,Additive,Mesh.Size,EUR_o..Mstb.
3,14,3,2003,10500,8,6,3,5,10214,2,7,1,1,53.487248
2,14,3,2003,10900,7,4,1,1,8044,10,4,1,1,32.696
2,14,3,2003,10950,2,4,1,1,7742,10,4,1,1,41.692
4,28,3,2003,8970,8,4,4,8,7205,2,7,1,1,28.543885
4,28,5,2003,8805,8,2,3,7,7026,12,4,12,1,28.968
4,28,5,2003,8750,8,2,3,6,6972,12,4,1,7,18.522
2,14,3,2003,10370,8,3,1,2,8538,12,4,1,8,59.141131
2,28,3,2003,10500,8,3,4,4,10256,10,4,10,1,42.395032
6,3,4,2003,8218,8,4,1,1,6378,7,4,1,7,48.135324
4,28,3,2003,8907,8,2,4,2,7136,12,4,1,7,40.953948
6,3,4,2003,8225,6,4,1,1,6467,7,4,1,7,33.270034
2,14,3,2003,10300,8,4,1,1,7666,10,4,1,1,59.864122
2,16,3,2003,10500,8,3,4,4,8396,10,4,10,1,29.684
6,3,4,2003,8243,8,4,1,1,6308,7,4,1,7,43.108
6,3,4,2003,8225,8,4,1,1,6440,7,4,1,7,21.030304
4,28,3,2003,8840,8,4,3,3,7055,12,4,1,7,44.628
6,28,3,2003,8800,8,4,3,7,7011,12,4,1,7,72.617068
4,28,3,2003,8840,8,4,3,3,7082,12,4,1,1,34.404
6,3,4,2003,8225,8,4,1,1,6403,7,4,1,7,27.419624
6,3,4,2003,8225,8,4,1,1,6328,7,4,1,7,40.292
3,14,3,2003,10500,8,4,4,8,10195,10,4,10,1,34.954356
4,28,3,2003,9000,8,4,3,3,7248,12,4,1,7,23.532905
4,28,3,2003,8940,8,4,3,3,7158,12,4,1,7,42.628078
6,3,4,2003,8238,8,4,1,1,6354,7,4,1,7,35.07129
2,25,3,2003,10525,8,4,1,2,7728,10,4,10,7,45.712
6,3,4,2003,8225,8,4,1,1,6404,7,4,10,7,34.331987
6,3,4,2003,8237,8,2,1,1,6548,7,4,1,7,36.516218
6,3,4,2003,8235,8,4,1,1,6352,7,4,1,7,44.500833
2,13,3,2003,10125,8,4,1,2,9428,10,4,1,1,50.888
2,25,3,2003,10500,8,4,1,2,7689,10,4,10,7,54.188
3,14,3,2003,10500,8,4,4,7,10204,7,4,1,1,75.676
6,28,2,2003,8550,8,4,3,5,6825,12,4,12,7,40.2
5,28,2,2003,8550,8,2,3,3,6832,2,7,12,1,39.050383
6,3,4,2003,8225,8,4,1,1,6345,7,4,1,7,26.207459
6,3,4,2003,8245,8,4,1,1,6342,7,4,10,7,55.292
6,3,4,2003,8225,8,4,1,1,6322,7,4,1,7,31.192372
6,3,4,2003,8237,8,4,1,1,6605,7,4,10,7,39.96279
6,3,4,2003,8227,8,4,1,1,6521,7,4,1,7,29.197165
6,28,4,2003,8660,8,4,3,3,6913,12,4,1,7,59.672811
6,28,4,2003,8355,6,4,3,3,6604,12,4,1,7,36.283996
6,3,4,2003,8240,8,4,1,1,6495,7,4,10,7,16.6611
7,14,2,2003,8900,8,2,1,1,6155,10,4,1,1,22.156
3,14,3,2003,10500,8,4,4,8,10212,7,4,1,1,65.232
3,14,3,2003,10500,8,4,5,10,10235,7,4,1,1,45.174841
2,13,3,2003,10115,8,4,2,4,8051,10,4,1,1,38.332
6,28,4,2003,8198,6,4,3,3,6458,12,4,1,7,35.024343
4,28,5,2003,8950,8,4,3,6,7191,12,4,10,7,29.576
2,14,3,2003,11000,8,2,1,1,7651,10,4,1,1,68.906416
4,14,3,2003,10800,8,4,1,1,7508,10,4,1,1,32.36
6,3,4,2003,8258,8,4,1,1,6382,7,4,10,7,42.468
4,14,3,2003,10800,8,4,1,1,7455,10,4,1,1,13.256
6,28,4,2003,8590,6,4,3,6,6882,12,4,1,7,26.152
6,28,4,2003,8210,6,2,3,3,6413,12,4,1,7,29.088
4,28,3,2003,9018,8,2,3,6,7214,2,7,12,1,35.081716
6,28,4,2003,8540,6,4,3,3,6827,7,4,1,7,32.709938
6,28,4,2003,8590,8,2,3,6,6820,12,4,1,7,40.412
6,28,2,2003,8575,8,4,3,8,6839,2,7,12,1,45.276
6,28,2,2003,8600,8,4,3,7,6816,12,4,1,7,57.805695
6,28,4,2003,8690,8,2,3,3,6830,12,4,1,7,45.448
6,28,4,2003,8577,8,2,3,7,6760,2,7,12,1,44.124
6,3,4,2003,8276,8,4,1,1,6317,7,4,10,7,26.956027
6,3,4,2003,8246,8,4,1,1,6602,7,4,10,7,13.363
6,3,4,2003,8270,8,4,1,1,6305,7,4,1,7,41.02
6,3,4,2003,8246,8,2,1,1,6200,7,4,1,7,39.063212
3,14,3,2003,10515,8,3,4,8,10214,10,4,10,1,37.027789
7,3,4,2003,8300,8,2,4,8,8062,10,4,1,7,36.911603
4,28,3,2003,9415,8,4,4,9,7122,2,7,12,1,58.376
7,3,4,2003,8450,8,4,4,8,7901,2,7,12,1,65.908594
2,14,3,2003,10500,8,4,4,7,9778,7,4,1,1,38.204763
2,14,3,2003,10300,8,4,1,1,7630,10,4,1,1,35.397
7,28,4,2003,8120,8,2,3,8,6321,2,7,12,1,28.912225
6,3,4,2003,8252,8,2,1,1,6472,7,4,1,7,15.787189
7,28,4,2003,8112,8,2,3,6,6308,12,4,12,7,38.48
7,28,4,2003,8135,8,4,3,8,6368,2,7,1,1,56.83181
6,28,4,2003,8440,8,2,3,7,6626,2,7,12,1,21.748
3,14,3,2003,10700,8,4,1,1,7704,4,4,1,1,14.664783
4,28,3,2003,10500,8,4,6,14,10144,2,7,12,1,48.244296
7,3,4,2003,8050,6,4,3,6,6360,7,4,10,7,33.075151
6,3,4,2003,8280,8,2,1,1,6316,7,4,10,7,24.752
7,3,4,2003,8047,6,4,3,6,6266,7,4,10,7,34.895674
7,3,4,2003,8000,6,4,3,6,6316,7,4,10,7,25.408
2,14,3,2003,10265,8,3,1,1,8396,10,4,1,1,35.866823
3,14,3,2003,10480,8,4,5,10,10113,10,4,10,1,61.440998
2,14,3,2003,10515,7,4,5,9,10194,7,4,1,1,26.874749
3,14,3,2003,10500,8,4,5,9,10165,10,4,10,1,42.604159
6,3,4,2003,8250,8,4,1,1,6327,7,4,1,7,17.685
4,28,3,2003,9080,8,4,3,7,7302,2,7,12,1,19.403876
4,28,3,2003,8900,8,4,3,8,7195,2,7,12,1,48.980341
3,14,3,2003,10495,8,4,4,8,9645,10,4,10,1,34.02
4,28,3,2003,9400,8,2,4,9,9120,3,4,1,7,52.728
6,3,4,2003,8200,8,4,1,1,6494,7,4,10,7,22.301267
2,14,3,2003,10500,8,3,4,8,10124,7,4,1,1,37.418514
2,14,3,2003,10542,8,4,5,10,10178,10,4,10,1,53.92
2,14,3,2003,10515,8,3,3,6,9774,7,4,1,1,21.751252
6,28,2,2003,8440,8,4,3,8,6624,2,7,12,1,29.451065
6,28,2,2003,8530,8,3,2,5,7410,2,7,17,1,24.156
7,28,2,2003,8335,8,4,3,8,6504,2,7,12,1,42.256
6,28,4,2003,9300,8,2,5,10,9080,7,4,1,7,25.76
6,28,4,2003,9250,8,4,3,8,6580,2,7,12,1,33.312
6,28,4,2003,8550,8,2,3,8,6732,2,7,12,1,37.176
6,28,4,2003,8540,8,2,3,7,6722,2,7,12,1,31.38
5,28,3,2003,9265,8,2,4,8,8980,12,4,1,7,28.908
6,3,4,2003,8266,8,4,1,1,6270,7,4,1,7,44.397086
2,14,3,2003,10510,8,4,5,9,10127,7,4,1,1,40.888
2,14,3,2003,11000,8,4,1,1,8034,10,4,1,1,55.27195
2,25,3,2003,10900,8,2,1,2,7661,7,4,10,1,37.467
4,28,3,2003,10500,8,4,4,8,7476,7,4,1,7,25.852622
2,14,3,2003,10515,8,3,4,7,8355,7,4,1,1,20.972
6,28,4,2003,8345,8,4,3,6,6594,12,4,1,7,42.688
7,28,4,2003,8430,8,4,3,6,7916,12,4,21,7,23.428
3,14,3,2003,10502,8,4,5,10,10102,7,4,1,1,46.213273
6,3,4,2003,8310,6,2,1,1,6625,7,4,1,1,36.781231
4,28,3,2003,10500,8,3,5,12,9678,7,4,10,7,26.4944
6,3,4,2003,8295,8,4,1,1,6278,7,4,10,7,40.66574
2,14,3,2003,11000,8,2,1,1,7968,10,4,1,7,74.076
5,28,2,2003,8635,8,2,3,6,6826,12,4,1,7,55.657077
5,28,2,2003,8640,8,4,3,7,6815,12,4,1,7,37.975705
4,28,3,2003,8900,8,2,3,6,7167,12,4,1,7,42.128
3,14,3,2003,10510,8,4,4,10,10107,10,4,10,1,41.712578
2,13,3,2003,10120,8,4,2,2,7964,12,4,8,7,54.508
3,28,5,2003,9305,8,4,3,8,7456,2,7,12,1,29.334138
3,28,5,2003,9520,8,4,3,6,8856,12,4,10,7,46.251482
6,3,4,2003,8184,8,2,1,1,6364,7,4,10,7,11.52
2,14,3,2003,10527,7,4,5,10,10288,11,4,10,1,45.38
3,14,3,2003,10520,8,4,5,10,10152,11,4,10,1,48.244478
6,3,4,2003,8208,8,2,1,1,6257,7,4,1,7,17.302574
6,3,4,2003,8200,8,2,1,1,6361,7,4,1,7,44.38544
4,28,3,2003,10505,8,3,5,10,10389,7,4,10,7,15.960908
2,14,3,2003,10950,8,2,1,1,7712,10,4,1,7,49.617516
6,28,3,2003,8750,8,3,2,5,7743,2,7,12,1,25.848
4,28,3,2003,8750,8,3,2,4,7762,12,4,1,7,27.849732
4,28,3,2003,9050,8,2,3,8,7262,2,7,12,1,23.092
3,28,5,2003,9313,8,4,3,8,7429,2,7,12,1,27.110625
4,28,3,2003,10590,8,3,4,8,8222,12,4,1,7,19.840238
4,28,3,2003,10500,8,3,4,8,10044,7,4,10,7,32.213593
2,14,3,2003,10500,8,3,3,5,9778,11,4,10,1,51.756355
3,14,3,2003,10525,8,3,4,8,10124,10,4,10,1,69.428414
2,14,3,2003,10520,8,3,4,7,10094,11,4,10,1,62.188473
6,28,4,2003,8620,8,2,3,7,6802,2,7,12,1,24.501905
6,28,4,2003,8630,6,2,3,8,6810,2,7,12,1,25.014479
3,28,5,2003,9240,8,4,3,6,7485,12,4,1,7,28.842416
5,28,2,2003,8605,8,2,3,8,6806,2,7,12,1,40.045652
5,28,2,2003,8650,8,2,3,8,6816,2,7,12,1,54.565122
2,14,3,2003,11500,8,3,1,1,8427,11,4,1,1,62.932
2,14,3,2003,10900,8,3,1,2,8396,2,7,12,1,69.061386
2,14,3,2003,10520,8,3,4,8,9948,11,4,10,1,29.286506
2,25,3,2003,11300,8,4,1,2,7617,7,4,10,1,36.564
2,14,3,2003,10500,8,3,4,8,9982,7,4,10,1,37.596
6,3,4,2003,8200,8,4,1,1,6330,7,4,1,7,49.952123
6,3,4,2003,8200,8,4,1,1,6387,7,4,1,7,39.324
2,14,3,2003,10525,8,3,4,8,10138,10,4,1,1,29.356
2,14,3,2003,10535,8,3,4,8,10121,10,4,1,1,29.064
4,28,3,2003,10500,8,3,3,6,8186,12,4,1,7,19.833256
4,28,3,2003,10500,8,3,4,8,8172,12,4,1,7,18.946602
2,14,3,2003,10520,8,3,4,8,10031,10,4,1,1,87.436513
4,28,3,2003,8598,8,4,3,6,8387,12,4,1,7,28.999238
4,28,3,2003,10500,8,3,5,10,8172,12,4,1,7,29.123422
4,28,3,2003,10500,8,3,3,6,8157,12,4,1,7,24.110906
2,14,3,2003,10200,8,2,4,8,7838,12,4,1,2,102.91546
2,14,3,2003,10530,8,3,4,8,10131,7,4,1,1,35.940174
4,14,3,2003,10750,8,3,1,1,8184,4,4,18,7,56.570145
4,28,3,2003,10590,8,3,4,8,9837,7,4,1,7,15.893
4,14,3,2003,10800,8,3,1,1,8237,10,4,1,1,63.684727
2,14,3,2003,11000,8,3,1,1,8310,7,4,1,1,51.368539
4,28,3,2003,10500,8,3,5,12,9580,7,4,1,7,49.792866
4,28,3,2003,9050,8,4,3,8,7268,2,7,12,1,60.887277
2,14,3,2003,10515,8,3,4,8,10043,7,4,1,1,38.640267
3,14,3,2003,10525,8,3,4,8,10092,7,4,1,1,48.204
2,28,3,2003,10520,8,4,5,10,9808,7,4,1,7,46.92
3,14,3,2003,10525,8,3,4,8,10188,7,4,10,1,34.74
3,14,3,2003,10515,8,3,4,8,10100,11,4,1,1,39.228
6,28,4,2003,9315,8,4,5,10,9090,7,4,1,7,23.639
7,28,4,2003,8180,8,4,3,6,6381,12,4,1,7,39.388
6,28,4,2003,8700,8,2,3,3,6874,12,4,1,7,21.976
2,13,3,2003,10125,8,4,2,4,7868,7,4,1,1,47.144
6,28,4,2003,8355,8,2,3,6,6515,12,4,1,7,24.1
3,28,3,2003,10502,8,3,4,8,10296,7,4,1,7,36.512
3,14,3,2003,10520,8,3,4,8,10104,7,4,10,1,59.833192
2,14,3,2003,10525,8,3,4,8,10113,7,4,1,1,34.607786
3,14,3,2003,10500,8,3,4,8,10146,7,4,10,1,51.400832
2,28,3,2003,10500,8,3,4,8,10132,7,4,1,7,56.28003
3,28,3,2003,10520,8,4,4,8,10266,7,4,1,7,27.604
2,14,3,2003,10503,8,3,4,8,10008,7,4,1,1,23.485302
3,14,3,2004,10525,8,4,4,8,10095,7,4,10,1,41.116
2,14,3,2004,10515,8,3,4,8,10085,7,4,1,1,31.675288
3,14,3,2004,10525,8,3,4,8,10104,7,4,1,1,34.972
3,14,3,2004,10515,8,3,4,8,10182,7,4,1,1,43.268
7,14,2,2004,10550,8,4,1,1,6155,12,4,19,1,38.495916
2,25,3,2004,11000,8,3,1,2,8357,7,4,1,1,53.414429
2,21,3,2004,10145,8,4,1,2,7938,7,4,19,7,57.539156
5,14,2,2004,10500,8,2,1,1,6821,4,4,1,1,51.856
2,14,3,2004,10750,8,3,1,1,8875,12,4,21,1,60.292
2,25,3,2004,11100,8,3,1,2,8292,7,4,10,1,46.744
3,14,3,2004,12510,8,3,4,8,10176,7,4,1,1,31.928057
3,14,3,2004,10497,8,3,4,8,10089,7,4,1,1,28.392
2,25,3,2004,11000,8,3,1,2,8194,7,4,1,1,36.296
3,14,3,2004,10528,8,3,4,8,10123,7,4,1,1,24.874313
2,14,3,2004,10500,8,4,4,7,10071,7,4,1,1,50.4261
4,28,3,2004,9095,8,4,3,6,7249,12,4,1,7,52.85194
3,14,3,2004,10515,8,3,4,8,10155,7,4,1,1,158.02
4,28,3,2004,9060,8,4,3,6,7216,12,4,1,7,46.312
4,28,3,2004,9050,8,4,3,6,7221,12,4,1,7,80.329134
2,14,3,2004,10529,8,3,4,8,10067,7,4,1,1,23.763
4,14,3,2004,11100,8,3,1,1,8228,4,4,1,1,74.212
6,28,4,2004,9304,8,2,4,8,8678,7,4,1,7,32.644
6,3,4,2004,8250,8,2,1,1,6430,7,4,1,7,35.576
4,14,3,2004,11000,8,3,1,1,8208,2,4,12,1,39.907358
2,25,3,2004,11000,8,3,1,2,8239,10,4,10,1,34.484
2,14,3,2004,10510,8,3,4,8,10139,7,4,10,1,47.89992
3,14,3,2004,10530,8,3,4,11,8318,7,4,10,1,57.538967
6,3,4,2004,8300,8,4,1,1,6507,7,4,1,7,45.068
3,14,3,2004,10500,8,3,4,7,10167,7,4,1,1,60.116
2,13,3,2004,10125,8,4,2,4,7900,7,4,1,1,56.399833
3,14,3,2004,10535,8,3,4,8,10121,7,4,1,1,14.850592
6,3,4,2004,8300,8,4,2,2,7661,7,4,10,7,29.856
2,14,3,2004,10520,8,3,4,8,10122,7,4,1,1,56.793508
3,14,3,2004,10501,8,3,4,8,8223,7,4,1,1,39.632
6,3,4,2004,8260,8,4,1,1,6420,7,4,1,7,15.183219
2,14,3,2004,10765,8,3,1,1,8323,4,4,21,1,69.9606
4,18,3,2004,8962,8,4,3,3,8674,10,4,1,7,28.016
2,14,3,2004,11000,8,4,1,1,8266,4,4,10,1,33.54
6,28,4,2004,9245,8,4,4,8,8702,7,4,1,7,44.144
3,14,5,2004,10515,8,3,4,8,8493,7,4,10,1,68.516
6,3,4,2004,8229,8,4,2,2,6354,12,4,10,7,36.242941
6,28,4,2004,9208,8,2,4,8,8676,7,4,1,7,33.608
2,25,3,2004,11000,8,3,1,2,8166,10,4,10,1,25.503
6,3,4,2004,8206,8,4,2,2,7710,7,4,1,7,19.024
4,28,5,2004,8830,6,2,3,6,7077,12,4,1,7,55.326606
3,14,3,2004,10510,8,3,4,8,10133,7,4,1,1,40.024
2,25,3,2004,11000,8,4,1,2,8139,10,4,10,1,62.239065
6,3,4,2004,8300,8,4,2,2,7872,7,4,10,7,20.72
2,14,3,2004,11000,8,3,1,1,8320,4,4,1,1,45.374184
3,14,5,2004,10520,8,3,4,8,10166,7,4,10,1,56.128
4,28,3,2004,8955,8,4,3,6,7135,12,4,1,7,31.516
2,25,3,2004,11000,8,4,1,2,8102,10,4,10,1,66.678739
2,14,3,2004,11000,8,2,1,1,7955,4,4,12,1,31.020599
6,3,4,2004,8290,8,4,2,2,7643,7,4,10,7,25.4
3,14,5,2004,10502,8,6,3,6,10110,7,4,1,1,33.648
6,28,4,2004,9118,8,2,4,8,8685,7,4,1,7,34.240125
4,28,5,2004,8881,6,4,3,6,7067,12,4,1,7,28.074
6,3,4,2004,8300,8,4,2,2,7761,7,4,10,7,26.522926
6,3,4,2004,8337,8,2,2,2,6480,7,4,10,7,23.852
2,14,3,2004,10492,8,3,4,8,10121,7,4,1,1,46.616316
2,14,3,2004,10099,8,3,3,7,8550,12,4,1,7,36.412
4,14,3,2004,11750,8,4,1,1,8048,4,4,1,1,67.268
2,14,3,2004,10507,8,3,4,8,10108,7,4,1,1,36.101629
2,14,3,2004,10514,8,4,3,4,9805,7,4,1,1,33.376
4,28,5,2004,8890,6,4,3,6,7103,12,4,1,7,23.713
3,28,5,2004,9080,8,2,3,6,7247,12,4,1,7,32.264
4,28,3,2004,8955,8,4,3,6,7131,12,4,1,7,30.336
4,28,3,2004,8950,8,4,3,6,7123,12,4,1,7,49.26
6,3,4,2004,8210,8,4,2,2,7647,7,4,10,7,25.66
6,3,4,2004,8306,8,2,2,2,7934,7,4,1,7,17.94
6,3,4,2004,8237,8,4,2,2,6432,7,4,10,7,20.668
2,14,3,2004,11077,8,4,1,1,8129,4,4,12,1,54.928
3,14,3,2004,10515,8,3,4,8,10170,7,4,1,1,32.084
3,14,3,2004,10530,8,3,4,8,10132,7,4,1,1,20.608
3,14,3,2004,10520,8,3,4,8,10133,7,4,1,1,43.176
3,14,3,2004,11250,8,3,1,1,8280,4,4,10,1,97.884
2,14,3,2004,10100,8,3,1,1,8321,4,4,12,1,31.457503
4,4,3,2004,8905,8,3,2,4,8578,4,4,1,7,9.608
6,28,4,2004,8610,8,2,3,6,6784,12,4,1,7,55.96
3,14,3,2004,10520,8,3,4,8,10148,7,4,1,1,62.571314
3,14,5,2004,10500,8,3,4,8,10115,7,4,10,1,54.997459
6,28,4,2004,9300,8,2,5,10,9000,6,4,1,7,34.904
2,14,3,2004,10515,8,3,4,8,10106,7,4,1,1,57.741835
6,3,4,2004,8154,8,2,2,2,7677,12,4,10,7,17.035916
6,3,4,2004,8312,8,2,2,2,7847,12,4,10,7,29.623072
6,28,4,2004,8545,8,2,3,6,6714,12,4,1,7,40.932
6,28,4,2004,8520,8,2,3,6,6688,12,4,1,7,34.4882
6,3,4,2004,8174,8,4,2,2,7721,7,4,10,7,29.151857
4,14,3,2004,10750,8,3,1,1,8087,4,4,12,1,43.884
4,28,3,2004,9397,8,2,3,6,7104,12,4,1,7,46.456
6,3,4,2004,8340,8,2,2,2,7849,7,4,1,7,18.528467
7,28,4,2004,8116,8,2,3,6,6325,12,4,1,7,44.236
6,3,4,2004,8204,8,4,2,2,7655,7,4,1,7,15.477321
3,14,3,2004,10500,8,3,4,8,10133,7,4,1,1,23.759805
2,25,3,2004,11000,8,3,1,2,8186,12,4,10,1,36.16
4,28,3,2004,9365,8,2,4,7,7063,12,4,1,7,60.648
6,3,4,2004,8307,8,4,2,2,7959,7,4,10,7,21.0058
6,28,4,2004,8710,8,2,3,6,6896,12,4,1,7,45.870227
6,28,4,2004,8270,6,2,3,6,6441,12,4,1,7,38.304
4,28,5,2004,8920,6,2,3,6,7091,12,4,1,7,28.698
6,3,4,2004,8336,8,4,2,2,7895,7,4,10,7,42.438441
6,28,4,2004,8350,6,2,3,6,6530,12,4,1,7,43.072318
2,25,3,2004,11000,8,3,1,2,8279,10,4,10,1,58.172009
2,14,3,2004,11000,8,3,1,1,8648,4,4,1,1,33.519145
2,14,3,2004,11100,8,3,1,1,8280,10,4,1,1,27.191892
6,3,4,2004,8260,8,4,2,2,7831,7,4,10,7,39.861647
6,3,4,2004,8140,8,2,2,2,7713,7,4,1,7,29.992
3,14,3,2004,10505,8,3,4,8,10114,7,4,1,1,38.192
6,28,3,2004,8780,8,4,3,6,6960,12,4,1,7,40.980679
6,28,4,2004,8205,8,4,3,6,6441,12,4,1,7,28.67927
6,28,4,2004,8345,8,2,3,6,6541,12,4,1,7,32.599246
7,28,4,2004,8188,6,2,3,6,6295,12,4,1,7,50.176
7,28,4,2004,8150,6,2,3,6,6346,12,4,1,7,40.528
6,3,4,2004,8418,8,4,2,2,8001,7,4,1,7,32.723344
6,3,4,2004,8267,8,4,2,2,7680,7,4,10,7,8.388
6,3,4,2004,8329,8,4,2,2,7910,7,4,10,7,39.929847
6,28,4,2004,8615,8,2,3,6,6740,12,4,1,7,32.4967
6,28,4,2004,8532,8,2,3,6,6742,12,4,1,7,34.125549
6,28,2,2004,8560,8,4,3,6,6748,12,4,1,7,51.734614
6,3,4,2004,8231,8,4,2,2,7747,7,4,10,7,27.775761
3,14,3,2004,10510,8,3,3,6,9646,7,4,10,1,17.58
2,14,3,2004,10510,8,3,4,8,10112,7,4,10,1,46.119104
2,14,3,2004,11100,8,4,1,1,8147,10,4,10,1,39.38
2,14,3,2004,11005,8,3,1,1,8741,4,4,12,1,27.993229
6,3,4,2004,8284,8,4,2,2,7800,7,4,10,7,32.423488
2,14,3,2005,10905,8,3,1,1,8353,4,4,1,1,61.452739
6,28,4,2005,8270,6,4,3,6,6552,12,4,1,7,13.540446
6,28,4,2005,9254,8,2,5,10,8949,7,4,1,7,21.748
6,3,4,2005,8229,8,4,2,2,7740,7,4,10,7,19.688
6,28,4,2005,9274,8,4,5,10,9000,7,4,1,7,29.265635
2,14,3,2005,11000,8,3,1,1,8269,4,4,10,1,58.854142
2,13,3,2005,10125,8,4,2,4,9388,12,4,10,1,49.554076
2,14,3,2005,10510,8,4,3,6,9677,7,4,10,1,35.008
2,14,3,2005,10900,8,3,1,1,8297,4,4,1,1,45.952
6,3,4,2005,8298,8,4,2,2,7844,7,4,10,7,33.524
6,3,4,2005,8280,8,4,2,2,7814,7,4,10,7,28.088
6,3,4,2005,8287,8,4,2,2,7751,7,4,10,7,13.56
3,14,3,2005,10515,8,3,4,8,10115,7,4,1,1,29.68
6,28,4,2005,8662,8,2,3,6,6814,12,4,1,7,57.101416
6,28,4,2005,9270,8,2,6,12,8964,7,4,1,7,36.869359
6,28,4,2005,9260,8,3,5,10,8948,7,4,1,7,32.712
6,3,4,2005,8283,8,4,2,2,7849,7,4,10,7,18.928
6,3,4,2005,8326,8,4,2,2,7849,7,4,10,7,33.756
7,28,2,2005,8240,8,4,4,8,6386,12,4,1,7,28.600945
3,14,3,2005,10505,8,3,4,8,10170,7,4,1,1,26.348716
2,14,3,2005,10520,8,3,4,8,10143,7,4,1,1,27.688
6,3,4,2005,8360,8,2,2,2,7875,12,4,10,7,20.312
6,3,4,2005,8314,8,4,2,2,7863,7,4,10,7,26.992
6,28,4,2005,9315,8,4,5,10,9018,7,4,1,7,35.592
6,28,4,2005,9350,8,4,5,10,8998,7,4,1,7,26.428
3,14,3,2005,10525,8,3,4,8,10139,7,4,10,1,41.716
6,28,4,2005,9319,8,4,5,10,8976,7,4,1,7,28.358193
6,3,4,2005,8282,8,4,2,2,7602,10,4,1,7,22.394169
