counter,WellID,meanError,minError,maxError,#samples,delta
374,1620,5.4657,1.7642,12.5121,13,0.4204384615
440,2359,6.3105,1.4195,14.4685,15,0.4207
409,1678,5.8935,2.1906,10.2474,14,0.4209642857
410,1274,5.8962,1.4645,11.6028,14,0.4211571429
483,1101,6.7399,1.2321,12.7297,16,0.42124375
333,2154,5.0636,0.0109,9.565,12,0.4219666667
602,941,8.0207,4.5892,12.5526,19,0.4221421053
633,395,8.4501,3.0889,19.258,20,0.422505
488,2576,6.7693,0.1548,21.7696,16,0.42308125
411,2093,5.924,0.3144,10.7013,14,0.4231428571
444,136,6.3496,0.201,15.2075,15,0.4233066667
295,2275,4.658,1.5777,9.7706,11,0.4234545455
296,1202,4.6705,0.2493,10.3709,11,0.4245909091
569,2377,7.6586,0.1405,22.103,18,0.4254777778
336,1794,5.1106,3.1071,6.9423,12,0.4258833333
446,2023,6.3889,4.1095,9.2228,15,0.4259266667
385,616,5.5466,3.8686,9.4332,13,0.4266615385
530,1945,7.256,3.2204,10.8883,17,0.4268235294
663,656,8.9701,5.0352,17.561,21,0.427147619
531,1774,7.2688,4.4823,10.6657,17,0.4275764706
494,2691,6.8587,1.9019,17.6243,16,0.42866875
387,91,5.5736,0.7053,13.0538,13,0.4287384615
183,250,3.4303,1.1528,7.1335,8,0.4287875
450,1779,6.4342,0.7759,11.572,15,0.4289466667
497,1867,6.8642,0.5311,16.1436,16,0.4290125
452,2653,6.4442,0.8296,20.1024,15,0.4296133333
391,1260,5.6025,0.2982,10.6428,13,0.4309615385
541,2390,7.3331,0.1677,19.8157,17,0.4313588235
580,224,7.7652,6.2062,9.5253,18,0.4314
583,2015,7.7819,1.3354,13.4422,18,0.4323277778
503,82,6.9184,0.1175,11.9243,16,0.4324
394,507,5.6435,1.1225,11.7613,13,0.4341153846
461,2234,6.5118,0.0806,21.2348,15,0.43412
306,1179,4.7866,1.063,8.6154,11,0.4351454545
551,1595,7.4124,3.3488,13.3701,17,0.4360235294
552,568,7.4159,3.2484,11.2011,17,0.4362294118
553,2453,7.422,0.6957,16.1402,17,0.4365882353
617,2674,8.2957,0.725,20.2778,19,0.4366157895
351,455,5.2476,1.9729,10.422,12,0.4373
468,1292,6.5693,0.6436,14.7435,15,0.4379533333
623,2110,8.3513,0.7911,15.9045,19,0.4395421053
314,1672,4.866,2.8396,7.1187,11,0.4423636364
473,1899,6.6459,4.5133,9.5829,15,0.44306
519,1699,7.0917,3.6929,17.9085,16,0.44323125
474,518,6.6519,2.6696,10.1316,15,0.44346
601,2271,8.0087,5.2084,11.3173,18,0.4449277778
561,1249,7.5672,0.3625,18.2955,17,0.4451294118
562,1211,7.5724,0.04,25.5857,17,0.4454352941
276,2153,4.4576,0.9921,11.3784,10,0.44576
523,2156,7.1621,0.3471,12.8805,16,0.44763125
367,976,5.3917,2.838,11.125,12,0.4493083333
566,2267,7.6407,3.4396,12.9916,17,0.4494529412
371,1916,5.4203,1.8826,7.0896,12,0.4516916667
574,309,7.7161,0.4533,18.8343,17,0.4538882353
532,587,7.2732,0.5695,16.9745,16,0.454575
533,1925,7.2794,5.8112,9.3917,16,0.4549625
412,744,5.9247,3.2494,9.4019,13,0.4557461538
679,1010,9.1158,5.0508,12.7568,20,0.45579
578,2235,7.7599,0.4277,20.5534,17,0.4564647059
496,621,6.8626,3.4561,11.3906,15,0.4575066667
378,37,5.4982,1.5267,11.4741,12,0.4581833333
584,1214,7.7909,3.0991,12.2019,17,0.4582882353
724,1648,9.7021,3.1445,15.7345,21,0.4620047619
457,2091,6.4794,3.1376,12.5718,14,0.4628142857
419,521,6.0228,0.6334,12.1053,13,0.4632923077
504,2084,6.9502,1.2251,14.769,15,0.4633466667
775,694,10.6998,5.2482,20.2326,23,0.4652086957
626,1030,8.3826,0.6778,28.5057,18,0.4657
777,1138,10.7179,3.3393,18.7655,23,0.4659956522
780,2095,10.7297,2.9192,18.5648,23,0.4665086957
341,1976,5.1417,4.2846,6.9694,11,0.4674272727
393,2493,5.6132,0.8128,9.5178,12,0.4677666667
251,1453,4.2135,0.0764,13.7252,9,0.4681666667
469,2562,6.5698,0.6886,20.541,14,0.4692714286
634,2027,8.458,5.954,11.1055,18,0.4698888889
600,633,8.0047,2.2024,13.64,17,0.4708647059
395,658,5.6706,0.3903,8.689,12,0.47255
669,1408,9.0194,0.6328,29.7,19,0.4747052632
671,2229,9.0301,0.2881,27.1431,19,0.4752684211
639,1943,8.5562,6.8494,10.3469,18,0.4753444444
607,1573,8.0977,5.0636,14.0398,17,0.4763352941
674,106,9.0616,3.7017,13.1064,19,0.4769263158
568,593,7.6545,1.1243,17.4629,16,0.47840625
527,217,7.2223,0.8203,21.7193,15,0.4814866667
529,2370,7.2523,0.337,15.9696,15,0.4834866667
582,1596,7.7718,4.3392,12.1781,16,0.4857375
490,2177,6.8046,0.1788,18.7386,14,0.4860428571
362,804,5.349,2.2276,9.5049,11,0.4862727273
442,2152,6.3242,2.3321,8.0364,13,0.4864769231
537,438,7.3008,0.0109,14.585,15,0.48672
363,867,5.3646,2.9026,13.4792,11,0.4876909091
586,272,7.8035,3.6063,18.277,16,0.48771875
687,531,9.2792,6.2908,14.8552,19,0.4883789474
407,1806,5.8716,4.5126,7.3507,12,0.4893
655,153,8.8314,0.3726,33.1603,18,0.4906333333
500,2470,6.9068,0.2518,12.6911,14,0.4933428571
413,273,5.9314,1.0576,11.1936,12,0.4942833333
631,89,8.4078,3.3183,15.8489,17,0.4945764706
415,135,5.9518,3.4405,9.1922,12,0.4959833333
321,874,4.9778,2.5398,6.7594,10,0.49778
377,1967,5.4872,0.6235,11.5233,11,0.4988363636
704,2461,9.5192,0.0934,18.1363,19,0.5010105263
708,1302,9.5671,3.4736,16.7263,19,0.5035315789
516,1848,7.0534,2.2109,11.4823,14,0.5038142857
517,2016,7.0603,5.7339,9.0235,14,0.5043071429
423,2122,6.07,0.4073,35.8753,12,0.5058333333
739,563,10.1237,4.9668,13.0503,20,0.506185
643,586,8.6153,3.1553,16.304,17,0.5067823529
682,756,9.1366,3.7531,13.7235,18,0.5075888889
390,428,5.5859,2.5358,13.3628,11,0.5078090909
740,2537,10.1611,2.3212,22.3727,20,0.508055
608,1505,8.1328,1.4003,17.3576,16,0.5083
774,1087,10.6893,1.4581,32.8021,21,0.5090142857
567,2332,7.642,0.5209,20.8559,15,0.5094666667
610,93,8.1574,4.4763,10.3797,16,0.5098375
570,1972,7.6614,6.2196,10.3409,15,0.51076
614,10,8.2059,4.2347,12.4888,16,0.51286875
429,1709,6.1608,3.8052,9.014,12,0.5134
726,2238,9.7556,0.6872,21.8548,19,0.5134526316
615,2605,8.2173,1.4238,16.6566,16,0.51358125
785,1488,10.8017,0.921,22.226,21,0.5143666667
481,1822,6.7236,3.0091,9.3943,13,0.5172
787,2014,10.8752,7.1039,13.7306,21,0.5178666667
652,752,8.808,4.4169,13.1632,17,0.5181176471
484,231,6.7596,2.2651,12.5688,13,0.5199692308
486,1133,6.7643,1.7121,12.4817,13,0.5203307692
538,1966,7.3013,0.8526,13.8436,14,0.5215214286
732,1609,9.9336,6.4988,14.0727,19,0.5228210526
540,1894,7.325,3.4466,9.9528,14,0.5232142857
701,1400,9.4308,2.263,21.048,18,0.5239333333
592,1863,7.875,5.7113,9.3777,15,0.525
439,1503,6.3064,1.0973,12.4501,12,0.5255333333
403,1826,5.7868,1.5604,9.2333,11,0.5260727273
664,1561,8.9776,2.9042,12.8062,17,0.5280941176
596,641,7.9319,1.0959,22.9125,15,0.5287933333
706,220,9.5312,2.151,20.5285,18,0.5295111111
734,1090,10.0724,6.2311,14.3279,19,0.5301263158
357,1698,5.3026,0.2642,10.8166,10,0.53026
445,1694,6.3723,1.9929,9.4998,12,0.531025
502,1592,6.916,1.1502,12.4807,13,0.532
773,649,10.6629,5.5763,20.2715,20,0.533145
599,2314,8.0039,0.1789,18.0937,15,0.5335933333
717,714,9.6214,5.8638,12.871,18,0.5345222222
641,1323,8.576,0.4035,16.2081,16,0.536
507,1636,6.9734,5.6582,8.1278,13,0.5364153846
606,1785,8.0703,3.352,12.1392,15,0.53802
511,327,7.0001,1.8406,13.9136,13,0.5384692308
745,2166,10.2525,2.6884,23.7848,19,0.5396052632
564,1215,7.5911,1.0489,26.927,14,0.5422214286
316,2031,4.8888,1.143,9.7323,9,0.5432
464,2106,6.5239,1.3759,9.8942,12,0.5436583333
611,1491,8.1631,0.6569,14.96,15,0.5442066667
417,1621,5.9895,0.1044,14.4422,11,0.5445
755,509,10.3894,5.4523,15.507,19,0.5468105263
466,1706,6.563,4.9644,8.048,12,0.5469166667
792,914,10.9423,4.5819,15.6467,20,0.547115
649,205,8.7817,0.5811,27.3041,16,0.54885625
616,1607,8.2348,5.3903,18.6293,15,0.5489866667
522,2555,7.1532,0.112,17.3226,13,0.5502461538
472,1418,6.6379,0.1747,17.7255,12,0.5531583333
618,1874,8.301,4.2934,14.0841,15,0.5534
621,284,8.3219,0.0092,18.9857,15,0.5547933333
585,1537,7.7932,2.7936,10.4563,14,0.5566571429
528,2258,7.2382,3.8798,12.0711,13,0.5567846154
705,1850,9.5207,6.0029,11.9376,17,0.5600411765
535,876,7.2866,3.3761,10.4947,13,0.5605076923
536,864,7.2868,4.8047,10.1915,13,0.5605230769
737,2524,10.0954,0.1846,26.5347,18,0.5608555556
666,2132,8.9959,5.045,11.6919,16,0.56224375
485,2185,6.7628,4.2562,11.7808,12,0.5635666667
543,1864,7.334,2.3636,9.9987,13,0.5641538462
778,1012,10.7212,6.6099,15.2172,19,0.5642736842
593,2572,7.9041,2.0819,12.385,14,0.5645785714
850,54,11.8565,3.7485,25.684,21,0.5645952381
544,1733,7.3451,3.9072,11.1124,13,0.5650076923
741,1768,10.1837,8.0012,16.5022,18,0.5657611111
489,270,6.7919,3.5102,10.8755,12,0.5659916667
746,2071,10.254,7.2158,13.5069,18,0.5696666667
638,2279,8.5478,2.3234,12.6713,15,0.5698533333
747,2288,10.2698,6.942,16.5136,18,0.5705444444
683,2726,9.17,0.6639,19.0817,16,0.573125
823,333,11.4709,7.4268,16.5675,20,0.573545
499,1549,6.8867,0.6104,12.3777,12,0.5738916667
443,1777,6.3409,4.2867,7.2037,11,0.5764454545
645,2211,8.6545,4.8926,11.1771,15,0.5769666667
754,2448,10.3876,1.7297,21.4387,18,0.5770888889
646,540,8.657,4.6949,12.4311,15,0.5771333333
686,357,9.2386,1.4163,21.0939,16,0.5774125
1001,738,14.4668,10.6577,18.7543,25,0.578672
237,757,4.0515,0.0273,7.6105,7,0.5787857143
834,2079,11.5969,8.384,15.364,20,0.579845
757,580,10.4374,3.1493,15.7536,18,0.5798555556
874,1016,12.204,8.8227,17.6743,21,0.5811428571
609,1578,8.1479,7.0175,11.8717,14,0.5819928571
761,120,10.4828,0.7117,20.8812,18,0.5823777778
878,1183,12.2791,3.9981,22.9021,21,0.5847190476
512,2291,7.0209,5.4707,10.6742,12,0.585075
805,2136,11.1179,9.5143,14.1924,19,0.5851526316
356,603,5.2879,0.3419,17.0344,9,0.5875444444
700,862,9.4258,7.3799,11.5215,16,0.5891125
922,2255,13.0048,3.485,25.3739,22,0.5911272727
813,353,11.2346,1.5572,20.6793,19,0.5912947368
886,2598,12.4237,0.4253,26.0267,21,0.5916047619
460,1807,6.5095,3.2365,8.8492,11,0.5917727273
954,2265,13.611,3.512,20.6233,23,0.5917826087
772,1059,10.6629,7.7457,15.3753,18,0.5923833333
619,116,8.3039,5.2895,12.0421,14,0.5931357143
736,14,10.0892,5.947,16.5083,17,0.5934823529
620,1291,8.3093,0.7102,17.0693,14,0.5935214286
889,516,12.4759,2.2739,20.0433,21,0.5940904762
414,86,5.9442,1.6884,11.2829,10,0.59442
738,826,10.1079,3.7532,23.9865,17,0.5945823529
660,1843,8.921,6.4989,13.2111,15,0.5947333333
782,2371,10.7562,3.2235,34.9082,18,0.5975666667
783,2041,10.758,2.7483,21.1135,18,0.5976666667
893,1988,12.5532,5.9148,17.3886,21,0.5977714286
470,1827,6.5766,3.4326,10.3855,11,0.5978727273
471,1986,6.6021,4.8685,9.2535,11,0.6001909091
668,1973,9.0085,6.8641,10.8286,15,0.6005666667
715,2178,9.6156,0.223,15.4681,16,0.600975
716,647,9.6166,7.1115,12.4871,16,0.6010375
718,2687,9.6269,0.1309,20.6765,16,0.60168125
670,471,9.0272,6.6292,11.8011,15,0.6018133333
588,693,7.8254,5.5273,9.6017,13,0.6019538462
934,932,13.243,10.5413,16.5514,22,0.6019545455
590,530,7.8417,3.0439,13.0823,13,0.6032076923
591,2405,7.8559,1.2244,20.6675,13,0.6043
721,1106,9.6721,0.2798,18.3418,16,0.60450625
675,2266,9.0707,3.2257,15.6999,15,0.6047133333
748,592,10.2825,5.9637,12.604,17,0.6048529412
677,1820,9.0804,3.5393,13.1497,15,0.60536
749,2428,10.3162,0.4179,27.17,17,0.6068352941
534,1463,7.2844,2.0759,17.2045,12,0.6070333333
793,679,10.9454,5.2214,17.4867,18,0.6080777778
832,1248,11.5542,1.7827,29.8645,19,0.6081157895
424,2560,6.0842,0.8639,9.3945,10,0.60842
636,1878,8.5252,6.0416,13.4519,14,0.6089428571
545,293,7.3678,5.47,9.4667,12,0.6139833333
758,243,10.4473,8.0628,13.0198,17,0.6145470588
760,1200,10.4801,6.867,20.734,17,0.6164764706
881,2642,12.3299,1.4952,17.797,20,0.616495
549,1014,7.4034,1.9173,10.466,12,0.61695
765,1398,10.5016,1.4091,34.6735,17,0.6177411765
492,1128,6.8319,3.0205,11.6141,11,0.6210818182
691,958,9.3396,6.9648,13.5516,15,0.62264
647,1865,8.7234,5.7476,10.5041,14,0.6231
693,436,9.3576,0.5901,20.4669,15,0.62384
769,2274,10.607,6.185,15.2205,17,0.6239411765
435,1298,6.2404,0.0124,15.7459,10,0.62404
648,1194,8.7432,1.4083,16.6155,14,0.6245142857
702,553,9.4355,5.1008,16.4544,15,0.6290333333
653,1981,8.815,6.3405,11.0474,14,0.6296428571
654,1665,8.8191,7.7498,10.4535,14,0.6299357143
613,1604,8.2005,5.8504,12.6741,13,0.6308076923
563,1058,7.5805,1.7473,11.7797,12,0.6317083333
656,2114,8.8758,2.797,17.0291,14,0.6339857143
657,843,8.894,6.3656,13.0104,14,0.6352857143
707,1070,9.5363,6.807,15.7972,15,0.6357533333
659,2127,8.9053,0.3305,27.9875,14,0.6360928571
709,2668,9.5673,0.756,26.7255,15,0.63782
824,2380,11.4817,4.6073,16.4336,18,0.6378722222
942,725,13.41,6.2877,16.8441,21,0.6385714286
661,2244,8.9522,1.6556,20.1791,14,0.6394428571
713,879,9.5964,5.8833,16.8252,15,0.63976
870,1570,12.1669,3.9114,24.0574,19,0.6403631579
662,1544,8.9664,4.8564,13.2061,14,0.6404571429
572,1506,7.6905,0.0108,13.6278,12,0.640875
871,1656,12.1809,10.3715,13.6667,19,0.6411
831,1550,11.5427,8.5701,15.9384,18,0.6412611111
790,1008,10.9119,7.8748,14.9449,17,0.6418764706
518,1135,7.0637,0.4855,13.552,11,0.6421545455
625,2203,8.37,5.0191,11.6091,13,0.6438461538
575,2205,7.734,3.0063,25.5574,12,0.6445
577,2124,7.7415,4.4341,12.2888,12,0.645125
722,2647,9.6783,3.6333,11.9127,15,0.64522
673,1626,9.0397,4.7303,11.2592,14,0.6456928571
630,571,8.4059,6.8514,10.544,13,0.6466076923
723,1902,9.6992,6.0845,11.6865,15,0.6466133333
520,715,7.1205,2.4491,14.6843,11,0.6473181818
796,747,11.0162,2.319,22.9622,17,0.6480117647
798,1130,11.0389,0.015,34.3022,17,0.6493470588
799,158,11.048,1.9567,19.6454,17,0.6498823529
681,1795,9.1338,4.8669,13.1144,14,0.6524142857
887,1532,12.4391,7.5664,17.1878,19,0.6546894737
685,824,9.22,6.373,12.3081,14,0.6585714286
974,1161,13.8825,0.602,28.6851,21,0.6610714286
731,653,9.9279,0.8059,19.0859,15,0.66186
597,355,7.9486,2.7317,16.5669,12,0.6623833333
817,2158,11.3123,7.6988,13.8867,17,0.6654294118
696,279,9.359,0.3589,33.4975,14,0.6685
862,1997,12.0664,9.8185,14.3973,18,0.6703555556
603,1974,8.0473,6.5191,9.9166,12,0.6706083333
477,1627,6.711,2.2849,9.7079,10,0.6711
904,184,12.7593,1.3847,24.9781,19,0.6715421053
735,1763,10.0737,5.4588,13.2291,15,0.67158
604,2655,8.0622,0.2871,16.4331,12,0.67185
605,2130,8.0655,4.7019,13.3049,12,0.672125
697,2270,9.4143,4.2004,15.1625,14,0.67245
482,94,6.7282,4.0848,8.2601,10,0.67282
699,729,9.4247,5.4754,17.1607,14,0.6731928571
908,2432,12.8271,3.8431,29.9549,19,0.6751105263
650,2037,8.8025,6.6989,13.3025,13,0.6771153846
872,855,12.1923,7.5023,19.1915,18,0.67735
830,2730,11.5295,0.8959,21.1361,17,0.6782058824
743,2552,10.2332,5.9071,18.1193,15,0.6822133333
612,1473,8.1908,1.255,20.3231,12,0.6825666667
744,1219,10.2442,4.1103,15.9196,15,0.6829466667
1022,2230,15.0332,5.637,27.5231,22,0.6833272727
791,1148,10.9391,6.201,15.1638,16,0.68369375
711,1700,9.5723,5.1112,15.7473,14,0.6837357143
712,2135,9.5766,2.8342,15.2575,14,0.6840428571
375,1936,5.4738,0.1558,12.5806,8,0.684225
658,2140,8.9026,5.7702,12.0132,13,0.6848153846
840,107,11.6582,5.0134,14.9722,17,0.6857764706
795,2559,10.9743,5.5246,19.4455,16,0.68589375
842,1220,11.6628,0.5929,32.3225,17,0.6860470588
750,881,10.3243,0.5017,35.3498,15,0.6882866667
797,72,11.0379,6.5393,15.0875,16,0.68986875
665,53,8.9916,5.3449,14.2057,13,0.6916615385
667,74,8.9994,5.3103,14.2035,13,0.6922615385
565,950,7.6157,0.1201,16.0888,11,0.6923363636
802,60,11.0868,7.8398,14.7572,16,0.692925
437,1755,6.2497,4.0782,9.0986,9,0.6944111111
980,1920,13.9732,12.687,15.5244,20,0.69866
629,1805,8.4023,6.5289,10.0667,12,0.7001916667
573,1679,7.7107,5.9511,11.2762,11,0.7009727273
513,48,7.023,3.9636,10.4718,10,0.7023
766,1600,10.537,9.0302,12.0946,15,0.7024666667
982,1657,14.0625,11.8986,15.4478,20,0.703125
514,2440,7.0314,0.9161,12.7739,10,0.70314
635,2083,8.4675,7.0558,12.2404,12,0.705625
858,239,12.0031,4.5366,17.0332,17,0.7060647059
581,2385,7.7675,1.3123,12.9042,11,0.7061363636
816,1690,11.3015,9.4721,13.1258,16,0.70634375
905,64,12.7664,6.0887,17.6899,18,0.7092444444
637,1719,8.5465,5.1623,11.3075,12,0.7122083333
909,253,12.8429,4.8425,22.2121,18,0.7134944444
820,437,11.4259,7.6954,17.0904,16,0.71411875
779,635,10.7248,0.8052,20.5174,15,0.7149866667
911,115,12.8853,7.5346,17.2238,18,0.71585
688,336,9.3168,4.9819,13.0796,13,0.7166769231
692,2107,9.355,5.4811,13.6822,13,0.7196153846
456,1108,6.4787,1.9639,9.4863,9,0.7198555556
695,2721,9.3589,0.0077,19.429,13,0.7199153846
876,306,12.2475,9.5773,15.5033,17,0.7204411765
918,1100,12.9709,8.7934,17.8031,18,0.7206055556
644,2025,8.6507,5.2956,11.3306,12,0.7208916667
835,2175,11.5986,8.8839,15.0745,16,0.7249125
742,182,10.1885,3.0267,23.5693,14,0.72775
930,415,13.1317,4.4604,25.4437,18,0.7295388889
843,1747,11.6868,9.2495,15.8652,16,0.730425
703,575,9.5061,6.8274,12.5379,13,0.7312384615
710,1393,9.5722,3.6773,14.0651,13,0.7363230769
547,2253,7.371,0.2469,23.3589,10,0.7371
935,2408,13.2683,1.227,29.7575,18,0.7371277778
800,2222,11.0587,1.3352,26.995,15,0.7372466667
1049,1184,15.517,8.7606,24.9809,21,0.7389047619
848,1738,11.8248,10.22,13.2623,16,0.73905
984,2424,14.0772,1.1553,34.4645,19,0.7409052632
852,758,11.8794,9.0176,15.1136,16,0.7424625
720,1666,9.6655,7.1815,12.4069,13,0.7435
756,1555,10.417,5.6053,20.7657,14,0.7440714286
899,831,12.6622,5.675,17.4226,17,0.7448352941
811,1765,11.2095,6.2153,14.4693,15,0.7473
812,2077,11.2238,8.1853,13.7751,15,0.7482533333
814,1563,11.2418,7.3448,15.1032,15,0.7494533333
995,1608,14.3039,9.6661,18.9337,19,0.7528368421
907,2036,12.8032,0.393,74.1883,17,0.7531294118
767,2672,10.5548,1.7335,26.567,14,0.7539142857
1030,894,15.116,11.2702,18.6094,20,0.7558
957,1252,13.6253,3.567,23.4275,18,0.7569611111
678,979,9.0875,4.5087,11.1098,12,0.7572916667
867,90,12.1169,9.0157,15.5677,16,0.75730625
998,820,14.3909,9.7388,17.7602,19,0.7574157895
770,1547,10.6081,7.8649,12.3673,14,0.7577214286
728,2716,9.8756,1.8877,20.7355,13,0.7596615385
680,743,9.1234,1.1905,16.9467,12,0.7602833333
1002,2247,14.4711,0.0637,34.9907,19,0.7616368421
962,931,13.713,9.979,15.6608,18,0.7618333333
1036,1921,15.2378,12.1801,16.8254,20,0.76189
730,154,9.9151,1.5365,17.7229,13,0.7627
821,114,11.4413,8.2584,17.3131,15,0.7627533333
1037,856,15.2618,11.6884,26.6164,20,0.76309
920,868,12.9907,8.9103,16.0155,17,0.7641588235
1004,2305,14.5232,4.6674,21.9948,19,0.7643789474
632,493,8.436,5.2321,13.5936,11,0.7669090909
684,2149,9.2051,0.4362,20.9533,12,0.7670916667
969,2182,13.823,10.6413,16.2529,18,0.7679444444
781,183,10.7532,0.3328,34.5997,14,0.7680857143
926,1186,13.0703,3.8529,20.9923,17,0.7688411765
971,745,13.8554,10.6198,17.3546,18,0.7697444444
879,1146,12.3208,9.4404,15.1699,16,0.77005
836,98,11.6117,10.1647,16.361,15,0.7741133333
431,1525,6.1931,3.1309,8.6674,8,0.7741375
689,1519,9.3205,1.3506,15.8786,12,0.7767083333
587,1702,7.8123,4.4663,10.5358,10,0.78123
844,1890,11.7245,10.211,14.4932,15,0.7816333333
642,1080,8.5989,1.0965,15.5243,11,0.7817181818
983,1139,14.0722,8.6001,19.5133,18,0.7817888889
845,668,11.7505,7.9764,15.0495,15,0.7833666667
936,1877,13.3238,11.0983,16.2864,17,0.7837529412
589,2483,7.84,3.3966,11.3235,10,0.784
940,7,13.3704,7.2079,20.2223,17,0.7864941176
1130,2170,17.338,11.2869,22.4273,22,0.7880909091
897,2224,12.6479,2.3584,29.7395,16,0.79049375
991,399,14.2297,1.4594,31.7387,18,0.7905388889
992,1553,14.2338,10.3667,18.4017,18,0.7907666667
898,2089,12.6543,9.0074,15.3696,16,0.79089375
594,2264,7.9124,6.1464,12.1062,10,0.79124
993,2469,14.2566,0.5305,22.938,18,0.7920333333
853,2173,11.8951,6.7213,21.4262,15,0.7930066667
946,1141,13.4958,7.3821,19.2147,17,0.7938705882
901,599,12.7164,6.6024,23.9579,16,0.794775
1067,1270,15.8991,9.8991,20.6641,20,0.794955
1068,1581,15.9029,11.9308,20.5344,20,0.795145
752,552,10.3369,0.377,15.9033,13,0.7951461538
753,526,10.3592,1.9956,19.6627,13,0.7968615385
1033,59,15.1767,11.3763,17.9607,19,0.7987736842
714,1711,9.6006,4.1105,13.2963,12,0.80005
999,221,14.4012,9.9393,19.6977,18,0.8000666667
953,2092,13.6083,11.1548,16.1539,17,0.8004882353
651,410,8.8071,0.9825,12.4679,11,0.8006454545
448,404,6.409,2.8547,8.7272,8,0.801125
859,2319,12.0186,1.2259,28.0996,15,0.80124
1169,201,18.435,1.2389,43.929,23,0.8015217391
958,907,13.6616,2.3817,23.3157,17,0.8036235294
861,246,12.0583,9.6597,15.288,15,0.8038866667
863,780,12.0711,8.6176,14.3521,15,0.80474
